iter	RMSE
0	21.49409493
1	20.8204894
2	20.22863083
3	19.6767239
4	19.16506623
5	18.68177676
6	18.219576
7	17.78740627
8	17.38172645
9	16.97604115
10	16.61094473
11	16.28856978
12	15.99466837
13	15.71552183
14	15.41160203
15	15.19963698
16	14.98497056
17	14.78401376
18	14.56375415
19	14.3830534
20	14.21480715
21	14.08050534
22	13.93415952
23	13.79142179
24	13.64658481
25	13.52511584
26	13.37744328
27	13.26885537
28	13.17907742
29	13.05470613
30	12.94639987
31	12.87294243
32	12.79788049
33	12.72164089
34	12.64841751
35	12.57774144
36	12.51184144
37	12.44531271
38	12.38295013
39	12.31945707
40	12.27394477
41	12.23135225
42	12.1736107
43	12.13102473
44	12.05970366
45	11.98942862
46	11.93577482
47	11.87829275
48	11.83526994
49	11.7871616
50	11.7255244
51	11.67521499
52	11.63454728
53	11.59941383
54	11.54575948
55	11.50474106
56	11.46822783
57	11.43484713
58	11.40392664
59	11.37516119
60	11.34371752
61	11.31243269
62	11.26455727
63	11.23794601
64	11.20558009
65	11.18126496
66	11.15080647
67	11.10191805
68	11.06894225
69	11.02571016
70	11.01062709
71	10.97758986
72	10.94912507
73	10.91951455
74	10.9047425
75	10.87994584
76	10.85478823
77	10.82546639
78	10.81640817
79	10.79654637
80	10.7680648
81	10.75153081
82	10.71778545
83	10.69673812
84	10.66483698
85	10.63428116
86	10.61758172
87	10.60288248
88	10.58459407
89	10.56691661
90	10.54998407
91	10.53485458
92	10.50469587
93	10.49199415
94	10.47236746
95	10.43845928
96	10.42460326
97	10.39875444
98	10.37503196
99	10.35824438
100	10.32908592
101	10.3036116
102	10.28974422
103	10.26467866
104	10.25468782
105	10.23802893
106	10.21208113
107	10.19592687
108	10.18103038
109	10.15620167
110	10.14487537
111	10.12914947
112	10.12223919
113	10.10861509
114	10.09268969
115	10.06996383
116	10.0531559
117	10.03383714
118	10.00986702
119	9.986453495
120	9.97380271
121	9.95581134
122	9.944145702
123	9.919664087
124	9.905856724
125	9.878476513
126	9.849129455
127	9.835303199
128	9.82018423
129	9.805279997
130	9.78724934
131	9.769847434
132	9.743437127
133	9.733681471
134	9.711673745
135	9.696405312
136	9.689914232
137	9.680240738
138	9.66571304
139	9.643865718
140	9.631564355
141	9.615922487
142	9.59024
143	9.563863883
144	9.544422949
145	9.524217928
146	9.504251386
147	9.480440381
148	9.458524102
149	9.44735619
150	9.427786396
151	9.402256639
152	9.377067726
153	9.359563798
154	9.345248724
155	9.331521487
156	9.299110736
157	9.280156738
158	9.260333713
159	9.241889522
160	9.222322496
161	9.209323938
162	9.183295021
163	9.160447539
164	9.136532103
165	9.126671077
166	9.115555916
167	9.101336758
168	9.076930958
169	9.068165405
170	9.054203813
171	9.036976314
172	9.022881968
173	9.003998652
174	8.990037543
175	8.980314801
176	8.965305738
177	8.955717273
178	8.943688758
179	8.926819984
180	8.920283528
181	8.903593224
182	8.896849155
183	8.874585356
184	8.862898918
185	8.850461308
186	8.829558925
187	8.809645232
188	8.791221802
189	8.774138445
190	8.764316663
191	8.753255342
192	8.749185318
193	8.740556739
194	8.727626489
195	8.724247314
196	8.71253287
197	8.699137048
198	8.679090708
199	8.668206391
200	8.651548557
201	8.638120179
202	8.61609404
203	8.603532326
204	8.592343441
205	8.583707626
206	8.562774265
207	8.550953045
208	8.533380838
209	8.530437091
210	8.517895011
211	8.50732746
212	8.493635897
213	8.476899228
214	8.471778172
215	8.456097775
216	8.441587831
217	8.420292501
218	8.410611661
219	8.398689941
220	8.385744985
221	8.368061048
222	8.356991967
223	8.347581585
224	8.342202857
225	8.323645772
226	8.314784223
227	8.304302141
228	8.290229213
229	8.277693134
230	8.274584757
231	8.263999949
232	8.252101173
233	8.242512578
234	8.240247991
235	8.237223526
236	8.224104868
237	8.208934825
238	8.197827385
239	8.188151555
240	8.186084206
241	8.180904763
242	8.171491868
243	8.153653446
244	8.140311821
245	8.131356943
246	8.123024487
247	8.102552978
248	8.089732782
249	8.077634246
250	8.068257601
251	8.057279612
252	8.045728274
253	8.03033587
254	8.018489336
255	8.008691667
256	7.996226154
257	7.989801971
258	7.980445934
259	7.975195154
260	7.963201694
261	7.955739298
262	7.9445314
263	7.942258951
264	7.930658869
265	7.928596503
266	7.911450925
267	7.901704982
268	7.892414971
269	7.8784965
270	7.861212161
271	7.850370487
272	7.843296358
273	7.841582768
274	7.831103185
275	7.818142168
276	7.806487359
277	7.795523913
278	7.787154105
279	7.785467565
280	7.777348039
281	7.765335309
282	7.754553068
283	7.738535301
284	7.728212949
285	7.72339592
286	7.715632192
287	7.710345314
288	7.697988601
289	7.687741284
290	7.67334028
291	7.668010265
292	7.666545273
293	7.6635774
294	7.649607322
295	7.63589086
296	7.627125631
297	7.616455363
298	7.60567087
