iter	RMSE
0	21.24643917
1	20.19628842
2	19.23291067
3	18.34949237
4	17.49580383
5	16.69301618
6	15.96500655
7	15.2763639
8	14.62335081
9	13.98474163
10	13.40833055
11	12.87555194
12	12.37952051
13	11.89630773
14	11.45704444
15	11.02516005
16	10.6409873
17	10.23966917
18	9.883016573
19	9.532987894
20	9.195724807
21	8.924644251
22	8.657094655
23	8.375759355
24	8.137647202
25	7.921549084
26	7.683399514
27	7.481158811
28	7.299508877
29	7.110140592
30	6.931459729
31	6.768262899
32	6.604958372
33	6.44996473
34	6.326104042
35	6.188505651
36	6.052415814
37	5.942101149
38	5.830777872
39	5.706802069
40	5.599271087
41	5.511730821
42	5.425306043
43	5.352268976
44	5.273336469
45	5.197746802
46	5.120410969
47	5.054617885
48	4.977866966
49	4.924800487
50	4.857562234
51	4.796121339
52	4.738664763
53	4.681331117
54	4.629563872
55	4.574155521
56	4.531440904
57	4.486517623
58	4.442955488
59	4.400270849
60	4.369782468
61	4.33416505
62	4.311744612
63	4.290152587
64	4.261161004
65	4.218049171
66	4.18740482
67	4.160553503
68	4.122581367
69	4.081643374
70	4.056425298
71	4.026714933
72	4.000835281
73	3.979770944
74	3.956349108
75	3.937804379
76	3.921765622
77	3.899701167
78	3.868784674
79	3.851916328
80	3.83726573
81	3.820775126
82	3.809155462
83	3.797999551
84	3.784197782
85	3.773590163
86	3.762047015
87	3.744727704
88	3.730024917
89	3.703608099
90	3.687025736
91	3.672760561
92	3.654755491
93	3.642424297
94	3.632058052
95	3.618681784
96	3.607023689
97	3.598270478
98	3.582766989
99	3.570333567
100	3.565088068
101	3.554814595
102	3.547056217
103	3.530732853
104	3.507227657
105	3.493811223
106	3.480664879
107	3.469204325
108	3.459195287
109	3.451938329
110	3.446694705
111	3.4364252
112	3.427961744
113	3.417089513
114	3.407419448
115	3.401597171
116	3.388086747
117	3.380873068
118	3.373675348
119	3.365315585
120	3.355829846
121	3.331389904
122	3.315333894
123	3.304487975
124	3.299894587
125	3.294547033
126	3.283512674
127	3.273355406
128	3.266087047
129	3.262165269
130	3.256328172
131	3.243267039
132	3.229438965
133	3.217461824
134	3.207210029
135	3.196771909
136	3.185411064
137	3.175991384
138	3.168548672
139	3.158249355
140	3.143397906
141	3.134587386
142	3.127708744
143	3.12044165
144	3.113852798
145	3.110002038
146	3.102809002
147	3.096477944
148	3.088984154
149	3.082325978
150	3.071717844
151	3.063653415
152	3.055770943
153	3.044538106
154	3.033917367
155	3.026917612
156	3.012319654
157	3.002125775
158	2.997098687
159	2.99100492
160	2.981324038
161	2.97490121
162	2.969053849
163	2.961282569
164	2.954699691
165	2.94588088
166	2.941300016
167	2.936596369
168	2.930985431
169	2.92698557
170	2.91975717
171	2.909490453
172	2.900285036
173	2.88942923
174	2.883668545
175	2.87469059
176	2.87047863
177	2.860640277
178	2.853791504
179	2.851513971
180	2.845444733
181	2.836922026
182	2.833382445
183	2.824618796
184	2.816336537
185	2.810252224
186	2.804698842
187	2.795858271
188	2.788030753
189	2.780933349
190	2.772414673
191	2.766319059
192	2.761032952
193	2.755825265
194	2.748062723
195	2.741695119
196	2.732614529
197	2.722684467
198	2.71676342
199	2.711598619
200	2.707242348
201	2.703306519
202	2.70137424
203	2.693088085
204	2.688118794
205	2.685449313
206	2.679048743
207	2.674061795
208	2.671395405
209	2.667142328
210	2.663416656
211	2.657484775
212	2.650986017
213	2.644016892
214	2.637623375
215	2.632592188
216	2.625509957
217	2.620294255
218	2.617647326
219	2.611388417
220	2.604055919
221	2.60151157
222	2.599417614
223	2.596294633
224	2.589314464
225	2.582873146
226	2.574558226
227	2.570189432
228	2.568295076
229	2.563190567
230	2.55579248
231	2.547878527
232	2.539560863
233	2.533472809
234	2.525625084
235	2.519839509
236	2.512421436
237	2.507372183
238	2.503726805
239	2.500534569
240	2.494363817
241	2.489921001
242	2.483992461
243	2.477497961
244	2.47385615
245	2.466975416
246	2.463756773
247	2.459353898
248	2.454299745
249	2.449210837
250	2.446316657
251	2.442932991
252	2.440200458
253	2.43564054
254	2.431099025
255	2.428172158
256	2.425210552
257	2.420071767
258	2.41745549
259	2.412789113
260	2.411987865
261	2.408515624
262	2.403904383
263	2.400605004
264	2.396542381
265	2.391433491
266	2.388179078
267	2.385035511
268	2.382832723
269	2.377610946
270	2.372693775
271	2.369593796
272	2.365507669
273	2.361743734
274	2.354604216
275	2.352638475
276	2.348751812
277	2.345859165
278	2.343267964
279	2.337686729
280	2.335815047
281	2.332174002
282	2.325833491
283	2.323761169
284	2.320851145
285	2.315879062
286	2.310859612
287	2.309185727
288	2.306272572
289	2.302646876
290	2.298410124
291	2.293728265
292	2.289427444
293	2.286877484
294	2.279169823
295	2.277986182
296	2.274688582
297	2.271665419
298	2.268405999
299	2.262575349
300	2.258236105
301	2.255379353
302	2.251437195
303	2.248111451
304	2.241760974
305	2.238733786
306	2.234202445
307	2.23080404
308	2.226717643
309	2.221639741
310	2.219994141
311	2.215261145
312	2.212029022
313	2.207980281
314	2.205762907
315	2.202006033
316	2.201728469
317	2.197054872
318	2.194905226
319	2.191899476
320	2.190951095
321	2.187891156
322	2.184102366
323	2.181249213
324	2.178392281
325	2.174609451
326	2.170835826
327	2.167682445
328	2.163076361
329	2.160220804
330	2.157861752
331	2.15254806
332	2.148569541
333	2.140864562
334	2.137619801
335	2.134371837
336	2.129657262
337	2.126784581
338	2.123612405
339	2.118553694
340	2.116522122
341	2.113243337
342	2.111012762
343	2.108254606
344	2.103455213
345	2.100281738
346	2.095436739
347	2.093883313
348	2.091026612
349	2.088874378
350	2.086130088
351	2.082444983
352	2.078528443
353	2.075523013
354	2.072617955
355	2.070628911
356	2.067442238
357	2.065034533
358	2.062338146
359	2.060132357
360	2.058308719
361	2.056108163
362	2.053808547
363	2.05094165
364	2.047043414
365	2.043720936
366	2.041147389
367	2.036860967
368	2.034973977
369	2.032483678
370	2.030356716
371	2.027380874
372	2.025496209
373	2.021283889
374	2.017772624
375	2.013246525
376	2.011162259
377	2.006279905
378	2.00264581
379	2.000909751
380	1.998656178
381	1.993576693
382	1.991891921
383	1.988633441
384	1.986535615
385	1.983744738
386	1.980116749
387	1.97757807
388	1.973583042
389	1.971724281
390	1.96836919
391	1.964998351
392	1.961478001
393	1.959757233
394	1.95545504
395	1.954464656
396	1.952367262
397	1.950457497
398	1.947273949
399	1.944893025
400	1.943065847
401	1.941592661
402	1.938653578
403	1.936750884
404	1.933068175
405	1.930358802
406	1.928347587
407	1.925350719
408	1.923795661
409	1.921734236
410	1.919320199
411	1.916714483
412	1.914561671
413	1.91258571
414	1.909791372
415	1.906916551
416	1.902943258
417	1.901571324
418	1.897850553
419	1.895689667
420	1.893525575
421	1.891675045
422	1.889659542
423	1.887180242
424	1.882380636
425	1.880017602
426	1.8775435
427	1.875648374
428	1.871655373
429	1.86854986
430	1.865187836
431	1.862917605
432	1.859009727
433	1.855208242
434	1.852985888
435	1.850636175
436	1.84851651
437	1.846508997
438	1.844405704
439	1.841323754
440	1.838810821
441	1.835470011
442	1.833207848
443	1.831540919
444	1.828519373
445	1.828316644
446	1.82665935
447	1.823134347
448	1.820209895
449	1.818252312
450	1.817034983
451	1.815882232
452	1.812461068
453	1.810026949
454	1.809890369
455	1.807963627
456	1.806309124
457	1.804863965
458	1.803202731
459	1.801614119
460	1.797986439
461	1.794991653
462	1.792102419
463	1.789823364
464	1.78782609
465	1.785494418
466	1.782505246
467	1.781513422
468	1.779856315
469	1.778245145
470	1.777661034
471	1.775992375
472	1.773448388
473	1.773340546
474	1.771277409
475	1.768201266
476	1.765803878
477	1.764106375
478	1.76264562
