iter	RMSE
0	21.20198003
1	20.20789896
2	19.24347485
3	18.40744313
4	17.58742955
5	16.79187399
6	16.03421201
7	15.34018327
8	14.68632682
9	14.10925397
10	13.54455406
11	13.02908351
12	12.51042549
13	12.0068852
14	11.55532062
15	11.14060302
16	10.77101614
17	10.38669016
18	10.02464157
19	9.705311284
20	9.398956325
21	9.102295685
22	8.816586117
23	8.55146419
24	8.287540944
25	8.056837689
26	7.838794075
27	7.616670455
28	7.416208685
29	7.244322729
30	7.053933145
31	6.922989636
32	6.758917848
33	6.616783067
34	6.478924508
35	6.350576624
36	6.231248984
37	6.102614864
38	6.00211271
39	5.905368716
40	5.818935557
41	5.723173751
42	5.627174873
43	5.545139269
44	5.439581679
45	5.360225466
46	5.287868027
47	5.22494914
48	5.167220171
49	5.090391982
50	5.030236783
51	4.960717175
52	4.893266938
53	4.84891341
54	4.794842845
55	4.736444097
56	4.688897739
57	4.632053585
58	4.591075779
59	4.557523127
60	4.520515465
61	4.490351101
62	4.45230127
63	4.412591423
64	4.379486777
65	4.351198815
66	4.311364009
67	4.29041028
68	4.269774146
69	4.229443884
70	4.201040523
71	4.175509829
72	4.13445297
73	4.105179149
74	4.086693553
75	4.065433666
76	4.04295058
77	4.026856871
78	3.990003313
79	3.974956157
80	3.949667923
81	3.93501756
82	3.920697245
83	3.91041183
84	3.889897191
85	3.874999299
86	3.855459226
87	3.846043663
88	3.833300713
89	3.821522173
90	3.808061499
91	3.796211035
92	3.769207761
93	3.756128964
94	3.746111212
95	3.737008377
96	3.724266144
97	3.71100202
98	3.696344866
99	3.688686568
100	3.682728401
101	3.672579733
102	3.659339604
103	3.645056192
104	3.632019246
105	3.623780141
106	3.603658292
107	3.584461825
108	3.576842083
109	3.570582203
110	3.544446185
111	3.52900211
112	3.514840009
113	3.505401459
114	3.488015698
115	3.482156295
116	3.467006428
117	3.45816148
118	3.450461587
119	3.443278881
120	3.431185703
121	3.426172177
122	3.419641987
123	3.409731183
124	3.40086348
125	3.395191755
126	3.385010098
127	3.379523516
128	3.362822771
129	3.35419915
130	3.344844358
131	3.339914932
132	3.329783979
133	3.323672999
134	3.314506726
135	3.308336886
136	3.303904398
137	3.298785947
138	3.294097987
139	3.286290709
140	3.275457617
141	3.268350718
142	3.252709907
143	3.242072585
144	3.227739024
145	3.219807238
146	3.210300522
147	3.2039781
148	3.191738774
149	3.184406099
150	3.1728081
151	3.170603891
152	3.168744974
153	3.161220026
154	3.159910214
155	3.154892101
156	3.145385553
157	3.133589628
158	3.123864515
159	3.122289526
160	3.115821849
161	3.113766675
162	3.098548435
163	3.092733263
164	3.082369583
165	3.079355125
166	3.073976169
167	3.063814792
168	3.056197762
169	3.045604139
170	3.031145852
171	3.016510241
172	3.012312364
173	3.005701368
174	3.003516273
175	3.000706839
176	2.99271077
177	2.975569005
178	2.974165231
179	2.967546082
180	2.963346715
181	2.962429892
182	2.959656775
183	2.955811761
184	2.947873762
185	2.945689511
186	2.941932472
187	2.936305771
188	2.924776117
189	2.921952214
190	2.920784888
191	2.911987085
192	2.904892053
193	2.895867336
194	2.8932144
195	2.886625287
196	2.879495711
197	2.87651817
198	2.875450908
199	2.871476816
200	2.862286672
201	2.861448953
202	2.860668501
203	2.850405409
204	2.844911344
205	2.839137915
206	2.833364874
207	2.826642334
208	2.819901283
209	2.814218662
210	2.812826492
211	2.806596713
212	2.796940303
213	2.792013612
214	2.782665621
215	2.778076899
216	2.771327863
217	2.766530502
218	2.765085963
219	2.760886011
220	2.75473949
221	2.75356432
222	2.745655293
223	2.739870808
224	2.738012973
225	2.730195838
226	2.724415192
227	2.723650102
228	2.716863397
229	2.711714312
230	2.706380506
231	2.69909806
232	2.694313042
233	2.693382524
234	2.692775507
235	2.683886291
236	2.676955008
237	2.671742916
238	2.663977346
239	2.653195444
240	2.648752086
241	2.645413458
242	2.635191477
243	2.628149099
244	2.620906392
245	2.613257796
246	2.603952117
247	2.59491477
248	2.590349894
249	2.586843936
250	2.57522061
251	2.570923807
252	2.566082924
253	2.561781125
254	2.558624255
255	2.549641221
256	2.541484623
257	2.537040359
258	2.532361352
259	2.531751988
260	2.525401144
261	2.5202432
262	2.516524452
263	2.512938226
264	2.508922769
265	2.498610109
266	2.491415811
267	2.487616911
268	2.483125593
269	2.475640704
270	2.471004085
271	2.465617492
272	2.461280909
273	2.455794469
274	2.450889713
275	2.44394843
276	2.44117063
277	2.438091589
278	2.433650768
279	2.427589455
280	2.41939168
281	2.412692977
282	2.409029097
283	2.406016189
284	2.401964957
285	2.397007627
286	2.392583211
287	2.389163853
288	2.387068942
289	2.384467656
290	2.381312575
291	2.37243406
292	2.36642685
293	2.360651825
294	2.358000015
295	2.34948504
296	2.343274958
297	2.338153229
298	2.331556234
299	2.329892386
300	2.32589082
301	2.325302421
302	2.319754927
303	2.315083573
304	2.310608512
305	2.308173088
306	2.305233842
307	2.300514351
308	2.296943659
309	2.291650079
310	2.286408006
311	2.284102075
312	2.280766262
313	2.276493856
314	2.27422285
315	2.272480806
316	2.267563634
317	2.263514496
318	2.258130175
319	2.257643632
