iter	RMSE
0	21.63368997
1	20.91579461
2	20.31723498
3	19.75342723
4	19.22728157
5	18.74400245
6	18.24196875
7	17.83603091
8	17.43646942
9	17.13120665
10	16.7752426
11	16.44145804
12	16.15165032
13	15.88242848
14	15.61927118
15	15.34838133
16	15.15961051
17	14.94552819
18	14.72820063
19	14.55519164
20	14.37836389
21	14.2260705
22	14.07451493
23	13.92534082
24	13.77111747
25	13.63899105
26	13.51214229
27	13.3888332
28	13.25877913
29	13.17605011
30	13.07414279
31	12.99321119
32	12.89822073
33	12.79668806
34	12.71655212
35	12.65618888
36	12.59088217
37	12.5357425
38	12.46803228
39	12.400241
40	12.33714303
41	12.27071522
42	12.22743708
43	12.15556724
44	12.10163454
45	12.05539612
46	12.00854747
47	11.96797589
48	11.91008424
49	11.88543158
50	11.84993186
51	11.80959272
52	11.76651991
53	11.73072981
54	11.67368213
55	11.64329772
56	11.59735813
57	11.55738568
58	11.50912004
59	11.47193864
60	11.44118603
61	11.41479581
62	11.37465671
63	11.34676231
64	11.31677665
65	11.26612713
66	11.23210221
67	11.21260566
68	11.1749816
69	11.15280849
70	11.12115457
71	11.08805806
72	11.05030531
73	11.01308573
74	10.96578232
75	10.93853046
76	10.91942138
77	10.88478164
78	10.85897916
79	10.81310904
80	10.7832826
81	10.75498744
82	10.73807054
83	10.7147078
84	10.69287803
85	10.66683414
86	10.64521232
87	10.61637116
88	10.60382313
89	10.59174719
90	10.56830392
91	10.54715489
92	10.5262667
93	10.50850468
94	10.4865357
95	10.47062269
96	10.43843884
97	10.40148217
98	10.38908438
99	10.37305001
100	10.35857194
101	10.34797398
102	10.33201274
103	10.31351096
104	10.29964527
105	10.27596422
106	10.25910836
107	10.24385077
108	10.21959869
109	10.20481751
110	10.18530609
111	10.17358506
112	10.16371485
113	10.14231242
114	10.11613015
115	10.09849482
116	10.0776323
117	10.0565282
118	10.0359822
119	10.01018511
120	9.982495055
121	9.958434615
122	9.926650218
123	9.91214116
124	9.898511608
125	9.868477207
126	9.85517269
127	9.834773642
128	9.812394111
129	9.791060722
130	9.774571001
131	9.763873944
132	9.743822598
133	9.716167677
134	9.706559489
135	9.690538569
136	9.662463864
137	9.629130097
138	9.607539958
139	9.58786631
140	9.564560239
141	9.544605395
142	9.515039035
143	9.483918213
144	9.472879453
145	9.451344343
146	9.424024625
147	9.406836975
148	9.389307231
149	9.374300347
150	9.35066022
151	9.333638162
152	9.3206343
153	9.304022369
154	9.286596778
155	9.259055174
156	9.244588338
157	9.226360363
158	9.20849058
159	9.192547994
160	9.18030353
161	9.159999848
162	9.136326648
163	9.109170347
164	9.096217289
165	9.077787484
166	9.070276551
167	9.058930927
168	9.028888153
169	9.021584034
170	9.01008396
171	8.99555418
172	8.974103926
173	8.958304349
174	8.948502551
175	8.933895449
176	8.919980813
177	8.902705231
178	8.887496848
179	8.866240391
180	8.849197348
181	8.827642691
182	8.813754039
183	8.805159404
184	8.793590011
185	8.786421434
186	8.782237802
187	8.756977407
188	8.745087852
189	8.716333057
190	8.710177841
191	8.695802069
192	8.680785856
193	8.66691339
194	8.648688432
195	8.621291857
196	8.603977549
197	8.583096485
198	8.564721163
199	8.550451199
200	8.538480246
201	8.51776533
202	8.509225439
203	8.495994304
204	8.477114224
205	8.467197688
206	8.449689637
207	8.435372239
208	8.415461834
209	8.406447139
210	8.391133175
211	8.384949168
212	8.369013808
213	8.357308642
214	8.351370259
215	8.345407635
216	8.33062424
217	8.320915325
218	8.298275131
219	8.286551266
220	8.268696678
221	8.25159095
222	8.238094769
223	8.235388194
224	8.217949226
225	8.201521257
226	8.19018923
227	8.183607802
228	8.171266984
229	8.152634315
230	8.148691858
231	8.14659485
232	8.13705027
233	8.12453658
234	8.116048231
235	8.101623505
236	8.091190352
237	8.074397071
238	8.072392976
239	8.057470902
240	8.042724108
241	8.035148515
242	8.025155067
243	8.023439992
244	8.007579965
245	8.002296537
246	7.99496359
247	7.9770366
248	7.966229297
249	7.959202401
250	7.942425156
251	7.940213067
252	7.927202554
253	7.916329881
254	7.898828333
255	7.897061717
256	7.884243118
257	7.868700075
258	7.860728317
259	7.859187911
260	7.856951076
261	7.844614716
262	7.831659841
263	7.820902266
264	7.812475404
265	7.795969635
266	7.790055684
267	7.777642286
268	7.760321437
269	7.747805301
270	7.732070235
271	7.721867934
272	7.713509053
273	7.701698774
274	7.692446388
275	7.690120018
276	7.680609336
277	7.679020339
278	7.66568883
279	7.660693885
280	7.648539678
281	7.6409877
282	7.632703848
283	7.630424127
284	7.626449602
285	7.622931972
286	7.610045144
287	7.600047884
288	7.591021278
