iter	RMSE
0	21.63989291
1	21.00232983
2	20.3118708
3	19.72054737
4	19.22615665
5	18.68811095
6	18.21095231
7	17.78207318
8	17.42144115
9	17.00597992
10	16.65767222
11	16.34781169
12	16.11204976
13	15.8375613
14	15.55687023
15	15.33431927
16	15.13504309
17	14.94164381
18	14.76468772
19	14.59108487
20	14.40996026
21	14.25933379
22	14.10509059
23	13.9353052
24	13.79718381
25	13.64300651
26	13.52058427
27	13.41116837
28	13.29384718
29	13.18322623
30	13.07046899
31	12.96649398
32	12.8785643
33	12.81190749
34	12.73348336
35	12.63605012
36	12.5601625
37	12.50210072
38	12.44045654
39	12.36736446
40	12.3095758
41	12.25469366
42	12.20338551
43	12.139214
44	12.08003386
45	12.04104157
46	11.98563473
47	11.9272219
48	11.87874503
49	11.82057458
50	11.77265939
51	11.73193332
52	11.67962056
53	11.64620148
54	11.61262896
55	11.56437822
56	11.53015025
57	11.49724585
58	11.43958446
59	11.37972172
60	11.34361683
61	11.31476845
62	11.29244617
63	11.27377702
64	11.24212491
65	11.22063863
66	11.19651541
67	11.17264618
68	11.14850126
69	11.12610481
70	11.09932343
71	11.06796125
72	11.04292283
73	11.02138313
74	10.9818097
75	10.94944875
76	10.93398722
77	10.91054275
78	10.89271042
79	10.85992978
80	10.82715715
81	10.80849884
82	10.79096206
83	10.77480875
84	10.75377045
85	10.73131966
86	10.71022779
87	10.68273051
88	10.66145397
89	10.64800061
90	10.63212738
91	10.60596399
92	10.58244363
93	10.56531917
94	10.53896808
95	10.52141539
96	10.50032521
97	10.47129833
98	10.44647618
99	10.42147167
100	10.40648365
101	10.392799
102	10.37456086
103	10.34133308
104	10.30774686
105	10.2796114
106	10.24845284
107	10.23599834
108	10.21445706
109	10.19292124
110	10.17414868
111	10.14136801
112	10.10592639
113	10.0911254
114	10.05428227
115	10.01838445
116	10.00396232
117	9.986270149
118	9.967957642
119	9.953651433
120	9.941711992
121	9.917631984
122	9.888642256
123	9.871971047
124	9.855634906
125	9.84102691
126	9.815167136
127	9.792809946
128	9.772795551
129	9.75224783
130	9.738051859
131	9.713032118
132	9.696255521
133	9.674014264
134	9.649521737
135	9.632931899
136	9.616051721
137	9.596613565
138	9.576094209
139	9.561078145
140	9.540231408
141	9.528748826
142	9.515510688
143	9.490614274
144	9.479964371
145	9.460355923
146	9.438925275
147	9.419880603
148	9.402684243
149	9.387139026
150	9.376710966
151	9.363840374
152	9.345762769
153	9.322762158
154	9.310952631
155	9.292728389
156	9.273774162
157	9.263407592
158	9.242878796
159	9.228591428
160	9.202640309
161	9.179198012
162	9.149236281
163	9.143348897
164	9.128324524
165	9.114552076
166	9.099179161
167	9.082204065
168	9.063028154
169	9.042375648
170	9.025629289
171	9.001444141
172	8.978265569
173	8.968512546
174	8.959147874
175	8.938063875
176	8.923321007
177	8.907274442
178	8.89223828
179	8.882478115
180	8.87369599
181	8.860188778
182	8.847119832
183	8.836973101
184	8.813657313
185	8.789749371
186	8.772671119
187	8.747065803
188	8.72990312
189	8.708748687
190	8.695734748
191	8.69242494
192	8.663182701
193	8.651945826
194	8.634974823
195	8.626892591
196	8.618928582
197	8.60543792
