iter	Passed	Remaining
0	8	8944
1	18	8997
2	24	7990
3	29	7445
4	35	7127
5	42	6972
6	48	6818
7	53	6669
8	62	6919
9	68	6809
10	74	6688
11	80	6656
12	87	6640
13	93	6576
14	99	6518
15	105	6506
16	111	6443
17	117	6403
18	123	6366
19	128	6320
20	134	6290
21	140	6245
22	146	6205
23	151	6180
24	157	6141
25	163	6119
26	169	6108
27	175	6100
28	189	6354
29	196	6360
30	203	6345
31	210	6358
32	216	6335
33	221	6306
34	229	6323
35	239	6411
36	248	6469
37	265	6722
38	280	6917
39	295	7082
40	305	7145
41	318	7272
42	325	7245
43	331	7201
44	340	7229
45	347	7206
46	353	7164
47	359	7131
48	365	7100
49	371	7059
50	377	7020
51	383	6989
52	389	6952
53	394	6914
54	402	6920
55	413	6976
56	427	7067
57	438	7115
58	446	7121
59	453	7100
60	460	7093
61	469	7102
62	481	7160
63	489	7163
64	496	7140
65	504	7136
66	510	7115
67	517	7089
68	523	7063
69	535	7109
70	541	7079
71	552	7117
72	561	7125
73	569	7122
74	577	7118
75	588	7152
76	596	7144
77	601	7113
78	607	7083
79	619	7122
80	628	7133
81	637	7141
82	647	7157
83	654	7134
84	660	7105
85	665	7072
86	671	7042
87	676	7014
88	682	6986
89	690	6979
90	696	6953
91	701	6923
92	707	6901
93	713	6876
94	731	6967
95	738	6950
96	747	6956
97	755	6954
98	766	6971
99	772	6951
100	779	6940
101	786	6928
102	792	6905
103	801	6904
104	807	6885
105	815	6879
106	824	6877
107	831	6866
108	837	6848
109	852	6901
110	859	6883
111	870	6898
112	881	6922
113	892	6936
114	899	6919
115	906	6907
116	913	6896
117	924	6907
118	931	6895
119	939	6886
120	947	6882
121	959	6908
122	970	6921
123	978	6911
124	984	6891
125	993	6891
126	1000	6878
127	1008	6867
128	1015	6859
129	1027	6875
130	1037	6880
131	1045	6871
132	1051	6855
133	1058	6838
134	1063	6816
135	1069	6796
136	1076	6780
137	1087	6792
138	1100	6818
139	1111	6825
140	1122	6836
141	1129	6827
142	1136	6813
143	1142	6793
144	1148	6773
145	1157	6767
146	1167	6776
147	1179	6789
148	1186	6779
149	1200	6804
150	1207	6789
151	1213	6767
152	1225	6784
153	1233	6777
154	1242	6775
155	1252	6775
156	1262	6778
157	1269	6765
158	1276	6751
159	1282	6732
160	1288	6712
161	1293	6693
162	1304	6698
163	1312	6689
164	1318	6671
165	1329	6680
166	1335	6663
167	1341	6643
168	1350	6638
169	1355	6620
170	1362	6603
171	1368	6585
172	1373	6568
173	1382	6562
174	1396	6581
175	1409	6600
176	1415	6581
177	1420	6562
178	1426	6544
179	1432	6525
180	1438	6508
181	1443	6489
182	1449	6471
183	1455	6454
184	1464	6449
185	1473	6449
186	1479	6431
187	1485	6415
188	1491	6400
189	1497	6385
190	1504	6373
191	1515	6377
192	1521	6360
193	1527	6345
194	1533	6332
195	1539	6316
196	1545	6299
197	1551	6283
198	1557	6268
199	1562	6251
200	1569	6238
201	1575	6224
202	1581	6207
203	1587	6194
204	1597	6193
205	1607	6195
206	1619	6204
207	1625	6190
208	1641	6210
209	1651	6212
210	1657	6196
211	1664	6185
212	1669	6169
213	1675	6154
214	1685	6154
215	1691	6140
216	1699	6130
217	1705	6116
218	1711	6101
219	1716	6087
220	1723	6074
221	1728	6059
222	1735	6045
223	1748	6058
224	1758	6058
225	1764	6044
226	1771	6033
227	1778	6021
228	1784	6006
229	1793	6002
230	1803	6004
231	1813	6004
232	1819	5989
233	1825	5975
234	1831	5960
235	1836	5946
236	1842	5932
237	1850	5926
238	1856	5911
239	1864	5904
240	1872	5896
241	1879	5886
242	1885	5872
243	1890	5858
244	1896	5845
245	1903	5832
246	1909	5822
247	1915	5808
248	1921	5795
249	1927	5781
250	1934	5773
251	1940	5758
252	1945	5745
253	1952	5734
254	1958	5722
255	1966	5714
256	1972	5701
257	1977	5688
258	1984	5678
259	1990	5665
260	1996	5652
261	2002	5640
262	2008	5628
263	2014	5616
264	2020	5605
265	2027	5593
266	2032	5580
267	2041	5575
268	2047	5564
269	2053	5553
270	2060	5541
271	2066	5530
272	2073	5521
273	2087	5529
274	2094	5522
275	2100	5510
276	2106	5498
277	2112	5486
278	2118	5474
279	2124	5462
280	2130	5451
281	2137	5441
282	2143	5429
283	2149	5420
284	2157	5413
285	2165	5406
286	2178	5412
287	2186	5405
288	2192	5393
289	2198	5382
290	2205	5372
291	2211	5361
292	2217	5351
293	2225	5343
294	2230	5331
295	2241	5330
296	2247	5319
297	2253	5307
298	2258	5295
299	2264	5284
300	2270	5272
301	2276	5261
302	2282	5250
303	2287	5238
304	2293	5226
305	2304	5226
306	2317	5231
307	2323	5220
308	2330	5210
309	2336	5199
310	2341	5188
311	2347	5177
312	2353	5164
313	2359	5154
314	2365	5143
315	2374	5138
316	2385	5138
317	2392	5131
318	2401	5126
319	2412	5126
320	2417	5114
321	2423	5103
322	2429	5092
323	2435	5081
324	2444	5076
325	2456	5077
326	2463	5070
327	2472	5065
328	2478	5054
329	2488	5052
330	2496	5046
331	2509	5049
332	2515	5038
333	2522	5029
334	2532	5027
335	2538	5016
336	2548	5014
337	2556	5006
338	2562	4996
339	2571	4992
340	2582	4991
341	2589	4981
342	2594	4970
343	2602	4962
344	2608	4952
345	2614	4941
346	2622	4934
347	2628	4923
348	2634	4913
349	2640	4904
350	2651	4901
351	2665	4907
352	2677	4908
353	2685	4899
354	2692	4892
355	2698	4882
356	2705	4872
357	2710	4861
358	2716	4851
359	2722	4840
360	2728	4829
361	2734	4818
362	2739	4808
363	2745	4797
364	2751	4787
365	2758	4777
366	2768	4774
367	2775	4765
368	2781	4756
369	2786	4745
370	2792	4734
371	2798	4723
372	2803	4712
373	2809	4702
374	2815	4692
375	2821	4681
376	2826	4671
377	2832	4660
378	2839	4652
379	2848	4646
380	2853	4636
381	2859	4626
382	2868	4621
383	2880	4620
384	2892	4619
385	2897	4609
386	2903	4599
387	2911	4592
388	2918	4584
389	2925	4575
390	2931	4565
391	2941	4561
392	2947	4552
393	2952	4541
394	2961	4536
395	2967	4526
396	2974	4517
397	2980	4507
398	2986	4498
399	2996	4494
400	3001	4484
401	3007	4474
402	3024	4480
403	3031	4471
404	3038	4464
405	3047	4458
406	3053	4448
407	3063	4445
408	3070	4436
409	3076	4426
410	3082	4417
411	3088	4407
412	3094	4398
413	3100	4388
414	3106	4379
415	3116	4374
416	3125	4369
417	3130	4359
418	3136	4349
419	3142	4339
420	3151	4334
421	3167	4338
422	3175	4330
423	3180	4320
424	3186	4310
425	3192	4300
426	3199	4294
427	3210	4291
428	3218	4284
429	3229	4280
430	3238	4275
431	3245	4266
432	3252	4258
433	3259	4251
434	3266	4242
435	3272	4232
436	3279	4225
437	3285	4215
438	3291	4206
439	3297	4197
440	3303	4187
441	3310	4178
442	3321	4176
443	3329	4169
444	3335	4159
445	3340	4149
446	3347	4140
447	3352	4131
448	3358	4121
449	3370	4119
450	3375	4109
451	3381	4100
452	3388	4091
453	3393	4081
454	3401	4074
455	3407	4065
456	3414	4056
457	3421	4048
458	3430	4043
459	3436	4033
460	3442	4025
461	3448	4015
462	3453	4005
463	3459	3996
464	3465	3987
465	3473	3979
466	3478	3970
467	3484	3961
468	3490	3952
469	3496	3942
470	3502	3933
471	3508	3924
472	3514	3915
473	3523	3909
474	3529	3900
475	3535	3891
476	3543	3885
477	3549	3876
478	3556	3868
479	3564	3861
480	3575	3857
481	3587	3855
482	3601	3854
483	3614	3853
484	3622	3846
485	3630	3839
486	3638	3833
487	3645	3824
488	3650	3814
489	3656	3805
490	3661	3796
491	3667	3787
492	3678	3783
493	3684	3774
494	3691	3766
495	3700	3760
496	3706	3751
497	3712	3742
498	3722	3737
499	3728	3728
500	3733	3718
501	3739	3709
502	3746	3701
503	3754	3695
504	3760	3686
505	3771	3682
506	3782	3677
507	3791	3672
508	3803	3668
509	3815	3665
510	3824	3659
511	3833	3653
512	3840	3645
513	3851	3641
514	3860	3635
515	3865	3626
516	3872	3617
517	3878	3608
518	3885	3601
519	3892	3592
520	3898	3584
521	3904	3575
522	3921	3576
523	3927	3568
524	3933	3559
525	3939	3550
526	3954	3548
527	3971	3549
528	3982	3545
529	3989	3538
530	3995	3529
531	4004	3522
532	4010	3513
533	4015	3504
534	4024	3497
535	4029	3488
536	4035	3479
537	4043	3472
538	4049	3463
539	4055	3454
540	4061	3446
541	4067	3437
542	4076	3430
543	4085	3424
544	4095	3419
545	4108	3415
546	4114	3407
547	4122	3399
548	4130	3393
549	4138	3386
550	4148	3380
551	4156	3373
552	4165	3366
553	4171	3358
554	4177	3349
555	4187	3344
556	4197	3338
557	4207	3333
558	4218	3327
559	4226	3321
560	4232	3312
561	4239	3303
562	4244	3294
563	4252	3287
564	4258	3278
565	4271	3275
566	4277	3266
567	4283	3258
568	4289	3249
569	4296	3241
570	4302	3232
571	4309	3224
572	4315	3215
573	4321	3207
574	4327	3198
575	4333	3190
576	4339	3181
577	4344	3172
578	4350	3163
579	4356	3154
580	4365	3148
581	4373	3141
582	4379	3132
583	4385	3123
584	4392	3116
