iter	Passed	Remaining
0	4	4097
1	7	3500
2	9	3278
3	12	3197
4	15	3078
5	18	3067
6	21	3097
7	25	3147
8	28	3120
9	33	3345
10	36	3322
11	39	3270
12	42	3219
13	45	3180
14	47	3147
15	50	3109
16	53	3111
17	56	3083
18	59	3090
19	62	3077
20	65	3053
21	67	3021
22	70	2997
23	73	2993
24	76	2970
25	78	2946
26	81	2926
27	84	2920
28	86	2904
29	89	2886
30	92	2883
31	95	2901
32	103	3029
33	108	3095
34	114	3157
35	117	3150
36	120	3134
37	125	3189
38	129	3182
39	131	3160
40	142	3325
41	150	3427
42	159	3544
43	165	3598
44	173	3682
45	176	3666
46	179	3637
47	182	3610
48	184	3581
49	187	3555
50	189	3530
51	192	3507
52	194	3483
53	197	3459
54	200	3440
55	203	3422
56	206	3410
57	208	3391
58	211	3378
59	218	3426
60	221	3415
61	225	3405
62	228	3395
63	230	3375
64	233	3357
65	236	3340
66	240	3354
67	247	3391
68	250	3374
69	252	3359
70	255	3342
71	258	3326
72	260	3310
73	267	3351
74	273	3373
75	276	3356
76	280	3360
77	282	3343
78	285	3327
79	288	3317
80	290	3301
81	293	3286
82	296	3271
83	298	3257
84	301	3243
85	303	3228
86	306	3216
87	308	3201
88	320	3281
89	329	3329
90	339	3394
91	347	3433
92	357	3482
93	359	3468
94	363	3466
95	366	3452
96	373	3473
97	377	3473
98	380	3459
99	382	3444
100	385	3429
101	388	3416
102	390	3403
103	394	3397
104	397	3384
105	399	3371
106	402	3358
107	405	3350
108	408	3336
109	412	3335
110	426	3413
111	436	3462
112	446	3507
113	449	3494
114	452	3481
115	455	3468
116	458	3457
117	460	3444
118	466	3455
119	472	3461
120	476	3458
121	482	3474
122	486	3469
123	490	3461
124	493	3455
125	496	3445
126	499	3431
127	502	3420
128	509	3439
129	512	3430
130	515	3417
131	518	3408
132	520	3396
133	523	3384
134	527	3377
135	529	3365
136	532	3353
137	535	3341
138	537	3330
139	546	3355
140	551	3359
141	555	3356
142	564	3384
143	567	3374
144	570	3362
145	573	3351
146	575	3342
147	578	3329
148	581	3321
149	584	3310
150	586	3299
151	589	3288
152	592	3277
153	594	3266
154	597	3255
155	599	3244
156	602	3237
157	605	3226
158	607	3215
159	611	3208
160	613	3198
161	618	3198
162	621	3189
163	624	3182
164	626	3172
165	629	3162
166	632	3153
167	634	3142
168	637	3134
169	640	3125
170	642	3117
171	646	3110
172	648	3101
173	651	3092
174	657	3099
175	659	3089
176	663	3083
177	665	3074
178	668	3065
179	679	3097
180	685	3099
181	691	3108
182	694	3099
183	698	3099
184	705	3108
185	711	3114
186	719	3125
187	728	3144
188	730	3136
189	733	3128
190	742	3146
191	747	3145
192	754	3153
193	756	3144
194	759	3136
195	763	3132
196	766	3125
197	771	3123
198	774	3117
199	777	3109
200	780	3102
201	783	3094
202	789	3097
203	798	3115
204	808	3135
205	815	3144
206	819	3137
207	821	3128
208	824	3119
209	827	3112
210	830	3103
211	832	3096
212	835	3088
213	838	3079
214	846	3089
215	851	3089
216	854	3084
217	857	3075
218	860	3066
219	862	3058
220	865	3050
221	868	3042
222	871	3035
223	877	3039
224	879	3030
225	883	3025
226	886	3017
227	891	3017
228	893	3009
229	896	3001
230	900	2996
231	903	2989
232	905	2980
233	913	2989
234	923	3004
235	930	3012
236	933	3004
237	936	2997
238	938	2989
239	941	2980
240	944	2975
241	947	2968
242	950	2960
243	957	2967
244	962	2965
245	972	2979
246	976	2977
247	979	2969
248	981	2961
249	984	2953
250	988	2948
251	991	2941
252	993	2934
253	996	2927
254	999	2919
255	1002	2912
256	1007	2912
257	1012	2911
258	1017	2909
259	1022	2908
260	1026	2906
261	1036	2919
262	1044	2926
263	1047	2919
264	1049	2912
265	1053	2905
266	1055	2898
267	1062	2901
268	1065	2894
269	1067	2887
270	1076	2894
271	1082	2898
272	1085	2891
273	1091	2891
274	1093	2883
275	1097	2877
276	1100	2871
277	1103	2865
278	1110	2869
279	1113	2863
280	1116	2857
281	1121	2855
282	1130	2863
283	1133	2858
284	1136	2851
285	1139	2843
286	1141	2836
287	1150	2844
288	1155	2842
289	1157	2834
290	1160	2827
291	1164	2822
292	1166	2814
293	1168	2807
294	1172	2801
295	1174	2793
296	1177	2786
297	1179	2778
298	1181	2771
299	1187	2771
300	1191	2767
301	1195	2763
302	1201	2763
303	1205	2759
304	1208	2753
305	1216	2759
306	1220	2754
307	1222	2747
308	1225	2740
309	1231	2741
310	1234	2735
311	1237	2728
312	1239	2721
313	1242	2714
314	1245	2708
315	1248	2701
316	1251	2697
317	1255	2691
318	1257	2685
319	1260	2679
320	1263	2672
321	1270	2675
322	1279	2681
323	1286	2684
324	1292	2684
325	1297	2682
326	1305	2686
327	1312	2690
328	1318	2688
329	1324	2688
330	1330	2689
331	1334	2685
332	1337	2679
333	1343	2678
334	1345	2671
335	1351	2670
336	1355	2667
337	1358	2661
338	1361	2654
339	1363	2647
340	1366	2641
341	1369	2634
342	1374	2632
343	1376	2625
344	1380	2621
345	1383	2614
346	1385	2607
347	1388	2601
348	1397	2606
