iter	Passed	Remaining
0	9	9710
1	15	7949
2	21	7060
3	27	6877
4	34	6795
5	39	6593
6	45	6442
7	50	6279
8	55	6153
9	61	6057
10	66	5979
11	72	5928
12	77	5853
13	82	5811
14	87	5755
15	92	5709
16	98	5670
17	103	5656
18	108	5626
19	114	5594
20	119	5562
21	124	5547
22	130	5525
23	135	5528
24	146	5709
25	155	5833
26	160	5798
27	166	5795
28	173	5804
29	178	5778
30	184	5762
31	190	5776
32	201	5898
33	208	5927
34	215	5946
35	220	5912
36	226	5890
37	231	5858
38	237	5844
39	243	5844
40	249	5833
41	255	5820
42	260	5793
43	265	5773
44	271	5751
45	276	5737
46	282	5726
47	287	5706
48	293	5697
49	298	5674
50	303	5652
51	317	5786
52	329	5889
53	340	5957
54	352	6052
55	358	6044
56	363	6018
57	369	5995
58	374	5970
59	379	5948
60	385	5939
61	390	5914
62	396	5894
63	404	5910
64	409	5884
65	414	5863
66	419	5842
67	425	5838
68	436	5886
69	446	5931
70	453	5929
71	461	5945
72	466	5922
73	471	5898
74	476	5880
75	487	5922
76	494	5922
77	499	5907
78	513	5990
79	527	6061
80	532	6040
81	538	6024
82	543	6002
83	548	5983
84	554	5964
85	559	5946
86	565	5930
87	570	5913
88	576	5900
89	582	5892
90	588	5881
91	594	5871
92	600	5857
93	606	5844
94	612	5831
95	618	5828
96	625	5820
97	632	5819
98	639	5816
99	646	5822
100	657	5848
101	663	5838
102	675	5882
103	688	5931
104	704	6008
105	712	6006
106	718	5994
107	728	6020
108	741	6060
109	747	6047
110	761	6099
111	771	6116
112	783	6152
113	792	6159
114	797	6140
115	803	6121
116	808	6100
117	817	6111
118	823	6097
119	829	6083
120	834	6065
121	840	6047
122	846	6032
123	851	6013
124	857	6002
125	866	6007
126	872	5997
127	878	5982
128	891	6018
129	898	6015
130	904	6000
131	910	5983
132	919	5993
133	924	5975
134	929	5958
135	935	5945
136	941	5927
137	947	5915
138	952	5901
139	962	5913
140	968	5897
141	973	5884
142	979	5867
143	984	5854
144	990	5840
145	995	5825
146	1001	5810
147	1006	5795
148	1012	5780
149	1017	5765
150	1022	5749
151	1028	5735
152	1033	5720
153	1038	5706
154	1043	5691
155	1053	5698
156	1061	5700
157	1071	5709
158	1080	5715
159	1087	5710
160	1093	5695
161	1098	5680
162	1103	5667
163	1109	5655
164	1114	5640
165	1122	5641
166	1132	5649
167	1138	5636
168	1143	5624
169	1150	5616
170	1155	5601
171	1162	5595
172	1171	5600
173	1178	5594
174	1185	5590
175	1191	5580
176	1200	5580
177	1211	5596
178	1221	5604
179	1227	5590
180	1233	5580
181	1242	5585
182	1250	5582
183	1256	5571
184	1262	5560
185	1268	5551
186	1274	5541
187	1280	5531
188	1290	5536
189	1299	5541
190	1309	5544
191	1319	5551
192	1326	5546
193	1331	5532
194	1336	5518
195	1341	5504
196	1347	5490
197	1352	5476
198	1357	5463
199	1364	5457
200	1369	5445
201	1374	5431
202	1380	5420
203	1386	5408
204	1391	5396
205	1396	5384
206	1410	5403
207	1416	5393
208	1422	5384
209	1428	5372
210	1434	5362
211	1439	5350
212	1444	5337
213	1451	5329
214	1456	5317
215	1462	5307
216	1467	5295
217	1472	5282
218	1478	5272
219	1485	5267
220	1491	5257
221	1497	5249
222	1503	5238
223	1509	5229
224	1514	5217
225	1520	5205
226	1525	5194
227	1532	5190
228	1542	5193
229	1547	5181
230	1553	5171
231	1560	5165
232	1566	5156
233	1574	5152
234	1580	5146
235	1588	5143
236	1593	5131
237	1599	5120
238	1604	5108
239	1609	5098
240	1615	5088
241	1620	5076
242	1635	5096
243	1641	5085
244	1646	5073
245	1653	5067
246	1663	5070
247	1669	5060
248	1674	5049
249	1679	5037
250	1685	5028
251	1691	5020
252	1697	5012
253	1707	5013
254	1719	5024
255	1724	5013
256	1730	5002
257	1735	4990
258	1740	4980
259	1746	4971
260	1751	4959
261	1756	4948
262	1762	4938
263	1768	4929
264	1773	4919
265	1782	4917
266	1790	4914
267	1799	4915
268	1807	4911
269	1812	4900
270	1818	4890
271	1824	4883
272	1830	4873
273	1839	4875
274	1845	4865
275	1851	4856
276	1856	4845
277	1861	4835
278	1867	4824
279	1872	4814
280	1882	4816
281	1890	4814
282	1896	4803
283	1901	4794
284	1907	4784
285	1912	4773
286	1920	4770
287	1932	4776
288	1938	4767
289	1947	4766
290	1953	4760
291	1960	4753
292	1966	4744
293	1971	4733
294	1976	4722
295	1981	4712
296	1986	4701
297	1991	4691
298	1996	4681
299	2001	4671
300	2007	4661
301	2012	4650
302	2017	4640
303	2022	4630
304	2029	4625
305	2035	4616
306	2040	4605
307	2045	4596
308	2051	4587
309	2056	4577
310	2061	4567
311	2067	4558
312	2072	4548
313	2077	4538
314	2085	4534
315	2090	4524
316	2095	4515
317	2100	4505
318	2105	4495
319	2110	4485
320	2118	4480
321	2123	4471
322	2128	4462
323	2134	4452
324	2139	4443
325	2147	4440
326	2153	4431
327	2158	4422
328	2163	4412
329	2168	4402
330	2175	4396
331	2180	4386
332	2186	4380
333	2191	4370
334	2200	4368
335	2205	4359
336	2211	4351
337	2222	4352
338	2232	4353
339	2244	4357
340	2252	4352
341	2261	4350
342	2266	4341
343	2273	4335
344	2278	4326
345	2284	4317
346	2291	4311
347	2296	4301
348	2301	4293
349	2309	4288
350	2316	4283
351	2322	4276
352	2327	4266
353	2333	4259
354	2339	4250
355	2344	4241
356	2349	4231
357	2354	4222
358	2360	4214
359	2373	4219
360	2380	4214
361	2389	4210
362	2394	4202
363	2401	4196
364	2407	4188
365	2413	4179
366	2418	4171
367	2423	4162
368	2429	4154
369	2434	4145
370	2440	4137
371	2448	4132
372	2454	4125
373	2459	4116
374	2464	4107
375	2469	4098
376	2474	4089
377	2485	4089
378	2495	4088
379	2505	4087
380	2510	4078
381	2520	4077
382	2530	4076
383	2540	4074
384	2548	4070
385	2554	4062
386	2559	4054
387	2565	4046
388	2570	4038
389	2576	4030
390	2588	4031
391	2594	4024
392	2605	4023
393	2619	4028
394	2626	4022
395	2631	4012
396	2638	4007
397	2646	4002
398	2658	4003
399	2668	4002
400	2673	3993
401	2680	3986
402	2685	3978
403	2690	3969
404	2696	3961
405	2706	3960
406	2713	3953
407	2724	3953
408	2730	3945
409	2735	3936
410	2741	3929
411	2747	3920
412	2752	3912
413	2759	3905
414	2764	3897
415	2770	3889
416	2777	3883
417	2783	3874
418	2788	3866
419	2793	3857
420	2798	3848
421	2803	3840
422	2812	3836
423	2819	3829
424	2824	3821
425	2830	3813
426	2835	3805
427	2841	3796
428	2853	3797
429	2864	3797
430	2873	3793
431	2879	3786
432	2884	3777
433	2890	3769
434	2896	3761
435	2901	3753
436	2906	3744
437	2914	3738
438	2919	3730
439	2926	3724
440	2931	3716
441	2937	3708
442	2944	3702
443	2951	3696
444	2957	3687
445	2962	3679
446	2967	3670
447	2972	3662
448	2977	3654
449	2985	3648
450	2990	3640
451	2995	3631
452	3002	3625
453	3007	3617
454	3014	3610
455	3019	3602
456	3024	3593
457	3029	3585
458	3034	3576
459	3040	3569
460	3048	3564
461	3053	3555
462	3058	3547
463	3070	3546
464	3079	3542
465	3085	3536
466	3093	3531
467	3103	3528
468	3111	3522
469	3122	3520
470	3128	3513
471	3133	3504
472	3139	3497
473	3146	3491
474	3152	3484
475	3157	3476
476	3166	3472
477	3173	3465
478	3179	3458
479	3185	3450
480	3190	3443
481	3197	3436
482	3204	3429
483	3209	3421
484	3214	3413
485	3219	3405
486	3225	3397
487	3230	3389
488	3235	3381
489	3246	3378
490	3251	3370
491	3257	3362
492	3262	3355
493	3270	3349
494	3283	3349
495	3289	3342
496	3298	3338
497	3304	3331
498	3310	3324
499	3321	3321
500	3331	3318
501	3337	3310
502	3345	3305
503	3351	3298
504	3358	3291
505	3363	3283
506	3370	3277
507	3378	3272
508	3384	3265
509	3393	3260
510	3402	3256
511	3412	3253
512	3418	3245
513	3423	3237
514	3428	3229
515	3437	3224
516	3447	3221
517	3459	3218
518	3467	3213
519	3476	3209
520	3486	3205
521	3499	3204
522	3510	3201
523	3518	3195
524	3526	3190
525	3532	3183
526	3540	3177
527	3549	3172
528	3561	3171
529	3568	3164
530	3578	3160
531	3584	3152
532	3592	3147
533	3597	3139
534	3605	3133
535	3610	3125
536	3615	3117
537	3623	3111
538	3629	3103
