iter	RMSE
0	21.61619662
1	20.97282247
2	20.34342737
3	19.79826709
4	19.29309581
5	18.81727395
6	18.3952406
7	17.91192711
8	17.53337983
9	17.13293308
10	16.74589796
11	16.46754979
12	16.14923698
13	15.87462121
14	15.64491461
15	15.41676961
16	15.17211643
17	14.95021991
18	14.75365595
19	14.58333426
20	14.41379297
21	14.23638486
22	14.07978654
23	13.94862572
24	13.75712284
25	13.63711372
26	13.51405026
27	13.40542232
28	13.29375444
29	13.18337394
30	13.08306847
31	12.97833129
32	12.88300233
33	12.77766159
34	12.69571654
35	12.62840562
36	12.56414332
37	12.50512635
38	12.41216683
39	12.34216081
40	12.28624629
41	12.22941516
42	12.18532712
43	12.11869984
44	12.04665704
45	12.001275
46	11.93688528
47	11.8868762
48	11.83285274
49	11.79911782
50	11.75183785
51	11.69679391
52	11.66647198
53	11.61323628
54	11.57118309
55	11.53433453
56	11.49690234
57	11.469881
58	11.4362619
59	11.38380922
60	11.36015642
61	11.32223993
62	11.28059332
63	11.25226489
64	11.22935425
65	11.18905544
66	11.1485706
67	11.11961525
68	11.08158136
69	11.06005402
70	11.04947637
71	11.00882937
72	10.97309716
73	10.95665968
74	10.93208571
75	10.90214398
76	10.87878611
77	10.84621859
78	10.82485159
79	10.80243019
80	10.77888789
81	10.75802676
82	10.74405559
83	10.7194902
84	10.70837865
85	10.6862372
86	10.68259014
87	10.66221171
88	10.65076873
89	10.62134177
90	10.59801787
91	10.57904235
92	10.54979744
93	10.5217304
94	10.50797919
95	10.4905058
96	10.45902152
97	10.43894147
98	10.41706538
99	10.39605066
100	10.37452024
101	10.355341
102	10.33658076
103	10.3218937
104	10.29772795
105	10.28411028
106	10.2745622
107	10.26198042
108	10.23757854
109	10.21220667
110	10.1928785
111	10.1667783
112	10.14611031
113	10.12643167
114	10.1036045
115	10.09147561
116	10.0780481
117	10.05869136
118	10.03350017
119	10.01355895
120	9.993405741
121	9.973267565
122	9.960630722
123	9.94672459
124	9.928405377
125	9.914315571
126	9.897529146
127	9.877616737
128	9.855343067
129	9.837800102
130	9.823669023
131	9.80233282
132	9.781059104
133	9.755895742
134	9.737681783
135	9.717003168
136	9.695479074
137	9.670743226
138	9.66007905
139	9.640593294
140	9.622058862
141	9.607804406
142	9.595820546
143	9.572478812
144	9.552566478
145	9.532951005
146	9.514928826
147	9.490571236
148	9.469047601
149	9.463591317
150	9.449058695
151	9.424602553
152	9.404871841
153	9.389795327
154	9.371160059
155	9.346666623
156	9.334687
157	9.319370359
158	9.305208723
159	9.289682377
160	9.264533082
161	9.242446821
162	9.22023438
163	9.212770075
164	9.195272411
165	9.173678465
166	9.14947615
167	9.126456498
168	9.109060243
169	9.106079731
170	9.088835559
171	9.074883472
172	9.072571017
173	9.053461374
174	9.039343717
175	9.023979422
176	9.008441932
177	8.990495411
178	8.979773892
179	8.960961104
180	8.939919369
