iter	Passed	Remaining
0	9	8995
1	14	7027
2	19	6446
3	25	6335
4	30	6132
5	36	6027
6	41	5951
7	49	6100
8	54	6039
9	59	5921
10	71	6419
11	84	6928
12	93	7130
13	102	7211
14	107	7060
15	112	6939
16	119	6890
17	125	6828
18	130	6741
19	135	6642
20	141	6591
21	154	6881
22	160	6806
23	171	6974
24	182	7120
25	187	7031
26	192	6939
27	200	6944
28	205	6874
29	210	6796
30	215	6736
31	220	6669
32	225	6610
33	231	6571
34	236	6525
35	242	6480
36	246	6425
37	251	6375
38	259	6402
39	264	6355
40	269	6312
41	275	6277
42	280	6237
43	285	6209
44	298	6342
45	304	6323
46	317	6428
47	328	6513
48	342	6641
49	349	6640
50	358	6665
51	363	6628
52	368	6587
53	373	6551
54	380	6543
55	385	6501
56	396	6560
57	402	6536
58	407	6501
59	413	6474
60	420	6479
61	425	6444
62	432	6430
63	438	6406
64	442	6372
65	448	6349
66	454	6335
67	459	6303
68	465	6277
69	470	6246
70	477	6248
71	482	6222
72	487	6196
73	493	6170
74	497	6140
75	502	6113
76	515	6173
77	520	6150
78	525	6126
79	530	6102
80	535	6079
81	540	6055
82	546	6032
83	551	6008
84	555	5984
85	561	5963
86	566	5946
87	572	5929
88	579	5929
89	584	5913
90	590	5901
91	596	5882
92	601	5862
93	607	5852
94	612	5834
95	617	5817
96	622	5797
97	629	5797
98	634	5777
99	639	5759
100	644	5739
101	649	5721
102	654	5702
103	659	5684
104	664	5664
105	670	5653
106	675	5635
107	686	5668
108	696	5695
109	709	5743
110	715	5731
111	722	5726
112	728	5716
113	741	5766
114	751	5784
115	759	5784
116	770	5813
117	780	5831
118	791	5862
119	801	5880
120	814	5920
121	822	5915
122	827	5897
123	835	5902
124	840	5882
125	845	5867
126	851	5852
127	856	5837
128	863	5831
129	868	5813
130	876	5813
131	881	5794
132	890	5803
133	895	5786
134	902	5780
135	918	5832
136	923	5814
137	928	5800
138	939	5821
139	944	5804
140	950	5787
141	956	5781
142	964	5780
143	971	5777
144	978	5769
145	985	5763
146	990	5750
147	996	5736
148	1003	5731
149	1011	5731
150	1021	5743
151	1026	5727
152	1033	5719
153	1040	5714
154	1048	5718
155	1054	5706
156	1060	5692
157	1069	5699
158	1083	5729
159	1089	5719
160	1098	5726
161	1105	5718
162	1114	5723
163	1120	5709
164	1125	5696
165	1130	5681
166	1137	5673
167	1144	5666
168	1151	5661
169	1156	5645
170	1161	5630
171	1168	5622
172	1173	5611
173	1180	5602
174	1185	5586
175	1190	5571
176	1197	5566
177	1202	5550
178	1209	5549
179	1219	5553
180	1224	5540
181	1229	5525
182	1237	5523
183	1243	5513
184	1248	5498
185	1253	5485
186	1258	5470
187	1263	5456
188	1268	5442
189	1273	5430
190	1278	5416
191	1283	5402
192	1288	5388
193	1294	5377
194	1302	5377
195	1308	5367
196	1313	5354
197	1319	5344
198	1326	5338
199	1332	5329
200	1337	5317
201	1343	5305
202	1347	5292
203	1353	5280
204	1359	5272
205	1364	5260
206	1371	5255
207	1382	5264
208	1392	5271
209	1398	5260
210	1404	5250
211	1409	5238
212	1414	5224
213	1418	5211
214	1423	5198
215	1430	5192
216	1435	5179
217	1440	5167
218	1445	5156
219	1451	5144
220	1456	5134
221	1464	5133
222	1472	5129
223	1477	5117
224	1484	5111
225	1491	5106
226	1496	5094
227	1503	5092
228	1512	5091
229	1520	5090
230	1526	5080
231	1532	5073
232	1539	5068
233	1546	5062
234	1551	5050
235	1564	5064
236	1570	5057
237	1576	5046
238	1581	5036
239	1586	5024
240	1591	5013
241	1596	5001
242	1606	5003
243	1614	5002
244	1620	4994
245	1627	4988
246	1632	4976
247	1640	4974
248	1650	4979
249	1659	4977
250	1664	4967
251	1669	4955
252	1674	4944
253	1685	4951
254	1692	4945
255	1698	4936
256	1703	4925
257	1709	4915
258	1714	4904
259	1720	4895
260	1725	4884
261	1729	4872
262	1735	4862
263	1739	4850
264	1745	4841
265	1750	4830
266	1755	4819
267	1761	4810
268	1767	4802
269	1772	4791
270	1777	4780
271	1783	4772
272	1788	4761
273	1792	4750
274	1798	4740
275	1802	4729
276	1807	4718
277	1814	4713
278	1819	4702
279	1824	4692
280	1832	4690
281	1846	4701
282	1858	4709
283	1868	4710
284	1881	4719
285	1888	4714
286	1897	4713
287	1912	4727
288	1922	4730
289	1932	4731
290	1941	4730
291	1951	4731
292	1958	4726
293	1969	4729
294	1975	4720
295	1980	4710
296	1987	4703
297	1994	4699
298	2009	4710
299	2017	4708
300	2024	4700
301	2034	4703
302	2042	4698
303	2050	4693
304	2058	4689
305	2066	4687
306	2076	4686
307	2083	4681
308	2092	4678
309	2097	4667
310	2102	4658
311	2108	4648
312	2114	4641
313	2119	4631
314	2125	4621
315	2130	4610
316	2135	4600
317	2140	4591
318	2148	4586
319	2155	4580
320	2165	4579
321	2170	4569
322	2177	4564
323	2183	4556
324	2191	4551
325	2196	4540
326	2201	4530
327	2207	4522
328	2212	4512
329	2217	4502
330	2225	4498
331	2232	4492
332	2237	4482
333	2245	4477
334	2252	4472
335	2266	4479
336	2275	4476
337	2287	4479
338	2297	4479
339	2303	4470
340	2312	4469
341	2317	4458
342	2323	4449
343	2327	4439
344	2333	4429
345	2338	4420
346	2346	4414
347	2351	4405
348	2356	4394
349	2361	4384
350	2366	4374
351	2371	4366
352	2378	4358
353	2383	4349
354	2389	4340
355	2394	4332
356	2400	4322
357	2405	4313
358	2410	4304
359	2415	4294
360	2421	4285
361	2426	4276
362	2430	4265
363	2435	4255
364	2441	4246
365	2446	4237
366	2452	4230
367	2457	4221
368	2462	4211
369	2471	4207
370	2478	4201
371	2483	4192
372	2488	4183
373	2493	4174
374	2498	4164
375	2503	4155
376	2508	4145
377	2513	4136
378	2525	4138
379	2531	4130
380	2537	4122
381	2542	4113
382	2547	4103
383	2553	4095
384	2558	4086
385	2566	4082
386	2575	4079
387	2583	4075
388	2592	4072
389	2598	4063
390	2603	4054
391	2608	4045
392	2617	4042
393	2622	4033
394	2630	4029
395	2635	4019
396	2640	4011
397	2648	4006
398	2658	4004
399	2665	3998
400	2671	3989
401	2676	3980
402	2681	3972
403	2686	3963
404	2691	3953
405	2704	3957
406	2713	3952
407	2718	3944
408	2723	3935
409	2728	3926
410	2734	3918
411	2739	3909
412	2744	3900
413	2749	3892
414	2754	3883
415	2759	3874
416	2764	3865
417	2769	3856
418	2775	3848
419	2780	3839
420	2785	3830
421	2790	3822
422	2795	3813
423	2807	3813
424	2812	3805
425	2818	3797
426	2825	3791
427	2833	3787
428	2838	3778
429	2843	3769
430	2848	3760
431	2853	3751
432	2858	3743
433	2863	3734
434	2868	3725
435	2876	3720
436	2883	3714
437	2890	3708
438	2895	3699
439	2902	3693
440	2907	3685
441	2912	3676
442	2917	3667
443	2927	3665
444	2932	3657
445	2938	3649
446	2943	3641
447	2949	3633
448	2954	3626
449	2964	3622
450	2969	3614
451	2974	3605
452	2979	3597
453	2985	3590
454	2990	3581
455	2995	3573
456	3000	3565
457	3005	3556
458	3010	3548
459	3015	3539
460	3020	3531
461	3025	3523
462	3030	3515
463	3035	3506
464	3042	3500
465	3047	3491
466	3052	3484
467	3058	3476
468	3062	3467
469	3068	3459
470	3072	3451
471	3081	3446
472	3087	3439
473	3092	3431
474	3097	3423
475	3107	3420
476	3113	3413
477	3120	3407
478	3129	3403
479	3134	3396
480	3139	3387
481	3145	3379
482	3150	3371
483	3155	3363
484	3160	3356
485	3168	3351
486	3178	3347
487	3183	3340
488	3189	3332
489	3195	3325
490	3202	3320
491	3212	3316
492	3221	3312
493	3226	3304
494	3233	3298
495	3237	3290
496	3246	3285
497	3251	3277
498	3260	3273
499	3268	3268
500	3276	3263
501	3284	3258
502	3293	3254
503	3298	3246
504	3304	3238
505	3309	3230
506	3314	3223
507	3322	3217
508	3330	3212
509	3335	3204
510	3339	3196
511	3345	3189
512	3350	3180
513	3362	3179
514	3370	3174
515	3376	3166
516	3382	3160
517	3387	3152
518	3395	3146
519	3400	3139
520	3411	3136
521	3418	3130
522	3423	3122
523	3428	3114
524	3434	3107
525	3439	3099
526	3449	3095
527	3457	3090
528	3464	3085
529	3471	3078
530	3481	3074
531	3487	3067
532	3493	3061
533	3498	3053
534	3504	3045
535	3511	3040
536	3517	3032
537	3525	3027
538	3535	3023
539	3543	3018
540	3549	3011
541	3555	3004
542	3560	2996
543	3566	2989
544	3572	2982
545	3577	2974
546	3583	2967
547	3588	2959
548	3595	2953
549	3602	2947
550	3609	2941
551	3614	2933
552	3621	2927
553	3626	2919
554	3638	2917
555	3645	2911
556	3651	2903
557	3656	2896
558	3672	2897
559	3679	2891
560	3684	2883
561	3690	2875
562	3694	2868
563	3700	2860
564	3705	2852
565	3710	2845
566	3715	2837
567	3720	2829
568	3734	2829
569	3740	2821
570	3745	2814
571	3750	2806
572	3756	2799
573	3761	2791
574	3766	2784
575	3772	2776
576	3777	2768
577	3782	2761
578	3788	2754
579	3794	2747
580	3798	2739
581	3804	2732
582	3808	2724
583	3814	2716
584	3819	2709
585	3824	2702
586	3829	2694
587	3837	2688
588	3842	2681
589	3847	2673
590	3852	2666
591	3857	2658
592	3864	2652
593	3871	2645
594	3876	2638
595	3881	2631
596	3887	2624
597	3893	2617
598	3898	2609
599	3902	2601
600	3908	2594
601	3913	2587
602	3918	2579
603	3923	2572
604	3928	2564
605	3936	2559
606	3941	2552
607	3946	2544
608	3954	2538
609	3961	2532
610	3967	2526
611	3974	2519
612	3979	2512
613	3993	2510
614	4003	2506
615	4013	2502
616	4025	2498
617	4034	2493
618	4040	2486
619	4045	2479
620	4056	2475
621	4061	2468
622	4067	2461
623	4075	2455
624	4081	2448
625	4086	2441
626	4091	2434
627	4096	2426
628	4101	2419
629	4107	2412
630	4112	2404
631	4121	2399
632	4128	2393
633	4135	2387
634	4140	2380
635	4147	2373
636	4159	2370
637	4170	2366
638	4175	2358
639	4180	2351
640	4186	2344
641	4191	2337
642	4196	2330
643	4202	2322
644	4207	2315
645	4212	2308
646	4217	2300
647	4223	2294
648	4232	2288
649	4238	2282
650	4244	2275
651	4250	2268
652	4260	2264
653	4268	2258
654	4275	2252
655	4286	2247
656	4291	2240
657	4297	2233
658	4302	2226
659	4308	2219
660	4313	2212
661	4319	2205
662	4325	2198
663	4330	2191
664	4337	2184
665	4347	2180
666	4352	2172
667	4357	2165
668	4363	2158
669	4372	2153
670	4391	2153
671	4397	2146
672	4402	2139
673	4407	2132
674	4415	2125
675	4425	2120
676	4431	2114
677	4438	2107
678	4446	2102
679	4452	2095
680	4460	2089
681	4465	2082
682	4471	2075
683	4476	2067
684	4481	2060
685	4488	2054
686	4493	2047
687	4501	2041
688	4511	2036
689	4519	2030
690	4524	2023
691	4529	2016
692	4535	2009
693	4540	2001
694	4548	1995
695	4553	1988
696	4558	1981
697	4563	1974
698	4567	1967
699	4574	1960
700	4579	1953
701	4585	1946
702	4590	1939
703	4596	1932
704	4601	1925
705	4607	1918
706	4612	1911
707	4618	1904
708	4623	1897
709	4629	1890
710	4634	1883
711	4639	1876
712	4646	1870
713	4659	1866
714	4664	1859
715	4670	1852
716	4675	1845
717	4680	1838
718	4685	1831
719	4691	1824
720	4696	1817
721	4702	1810
722	4709	1804
723	4718	1798
724	4727	1793
725	4734	1786
726	4741	1780
727	4747	1773
728	4752	1766
729	4762	1761
730	4770	1755
731	4779	1749
732	4788	1744
733	4795	1737
734	4804	1732
735	4809	1725
736	4814	1718
737	4820	1711
738	4824	1704
739	4830	1697
740	4836	1690
741	4842	1683
742	4852	1678
743	4861	1672
744	4872	1667
745	4880	1661
746	4886	1655
747	4892	1648
748	4897	1641
749	4904	1634
750	4913	1629
751	4922	1623
752	4931	1617
753	4941	1612
754	4947	1605
755	4954	1599
756	4959	1592
757	4968	1586
758	4973	1579
759	4978	1572
760	4983	1565
761	4990	1558
762	4998	1552
763	5010	1547
764	5019	1541
765	5024	1534
766	5030	1528
767	5035	1521
768	5044	1515
769	5049	1508
770	5054	1501
771	5059	1494
772	5064	1487
773	5071	1480
774	5076	1473
775	5082	1467
776	5087	1460
777	5092	1453
778	5098	1446
779	5105	1440
780	5111	1433
781	5118	1426
782	5123	1419
783	5128	1413
784	5134	1406
785	5139	1399
786	5146	1392
787	5155	1387
788	5161	1380
789	5176	1376
790	5184	1369
791	5189	1362
792	5198	1356
793	5203	1350
794	5209	1343
795	5214	1336
796	5219	1329
797	5225	1322
798	5231	1316
799	5238	1309
800	5243	1302
801	5254	1297
802	5259	1290
803	5264	1283
804	5275	1277
805	5280	1270
806	5285	1264
807	5291	1257
808	5297	1250
809	5302	1243
810	5308	1237
811	5315	1230
812	5322	1224
813	5331	1218
814	5339	1211
815	5345	1205
816	5351	1198
817	5360	1192
818	5368	1186
819	5385	1182
820	5390	1175
821	5398	1169
822	5404	1162
823	5415	1156
824	5420	1149
825	5426	1143
826	5432	1136
827	5437	1129
828	5443	1122
829	5450	1116
830	5456	1109
831	5465	1103
832	5470	1096
833	5475	1089
834	5481	1083
835	5486	1076
836	5491	1069
837	5496	1062
838	5502	1055
839	5508	1049
840	5513	1042
841	5519	1035
842	5524	1028
843	5537	1023
844	5547	1017
845	5552	1010
846	5558	1004
847	5564	997
848	5577	992
849	5585	985
850	5590	978
851	5597	972
852	5606	966
853	5611	959
854	5616	952
855	5622	945
856	5627	938
857	5632	932
858	5642	926
859	5648	919
860	5661	914
861	5676	908
862	5684	902
863	5691	895
864	5700	889
865	5709	883
866	5716	876
867	5728	871
868	5734	864
869	5745	858
870	5758	852
871	5766	846
872	5776	840
873	5787	834
874	5794	827
875	5804	821
876	5809	814
877	5824	809
878	5835	803
879	5840	796
880	5851	790
881	5857	783
882	5867	777
883	5876	771
884	5881	764
885	5886	757
886	5892	750
887	5897	743
888	5903	737
889	5908	730
890	5913	723
891	5918	716
892	5923	709
893	5928	702
894	5933	696
895	5939	689
896	5944	682
897	5949	675
898	5954	669
899	5966	662
900	5973	656
901	5979	649
902	5984	642
903	5993	636
904	6002	630
905	6008	623
906	6014	616
907	6019	609
908	6025	603
909	6030	596
910	6035	589
911	6041	582
912	6046	576
913	6052	569
914	6058	562
915	6063	556
916	6068	549
917	6076	542
918	6082	536
919	6087	529
920	6102	523
921	6107	516
922	6112	509
923	6120	503
924	6125	496
925	6133	490
926	6138	483
927	6144	476
928	6154	470
929	6161	463
930	6167	457
931	6177	450
