iter	RMSE
0	21.19578118
1	20.15104473
2	19.18892444
3	18.35022607
4	17.48598104
5	16.73349268
6	16.03207532
7	15.29144935
8	14.64235286
9	14.03767346
10	13.47073451
11	12.93902057
12	12.43866981
13	11.95385281
14	11.50336164
15	11.06093634
16	10.67382626
17	10.30107839
18	9.96649537
19	9.634660791
20	9.294681002
21	9.015636204
22	8.718116889
23	8.459051964
24	8.189377066
25	7.961925532
26	7.750964531
27	7.54456124
28	7.351272184
29	7.166916432
30	7.001162715
31	6.868228231
32	6.70859402
33	6.551221099
34	6.419142623
35	6.315432265
36	6.191685029
37	6.0701965
38	5.945909301
39	5.843865901
40	5.744401527
41	5.627463821
42	5.546990049
43	5.456676967
44	5.378383209
45	5.301493796
46	5.232644213
47	5.185383969
48	5.111594895
49	5.057017879
50	4.970012362
51	4.919249043
52	4.855508111
53	4.80817361
54	4.74618798
55	4.697950075
56	4.649181969
57	4.587384033
58	4.55643957
59	4.50247039
60	4.46195863
61	4.413693814
62	4.380707401
63	4.350788538
64	4.31337875
65	4.279829786
66	4.238807714
67	4.216847183
68	4.200320821
69	4.174109229
70	4.149304919
71	4.123047809
72	4.092110702
73	4.061686214
74	4.040686817
75	4.024884585
76	3.993509347
77	3.967342173
78	3.938311392
79	3.921023501
80	3.904064962
81	3.892958455
82	3.877696873
83	3.856166223
84	3.842923798
85	3.824103935
86	3.811896692
87	3.800866886
88	3.784195318
89	3.773546439
90	3.752933293
91	3.738581337
92	3.729210059
93	3.719699514
94	3.694398126
95	3.685773953
96	3.667023081
97	3.657062201
98	3.632422401
99	3.622281614
100	3.60930544
101	3.592981621
102	3.579656034
103	3.564524543
104	3.540339851
105	3.53185716
106	3.523485032
107	3.510391417
108	3.500144414
109	3.49161722
110	3.465905002
111	3.457030564
112	3.447277048
113	3.437501869
114	3.426038378
115	3.419945267
116	3.409137858
117	3.397275254
118	3.386737061
119	3.373207591
120	3.36653894
121	3.356682113
122	3.347085659
123	3.344792431
124	3.335057484
125	3.327731541
126	3.318445127
127	3.309283615
128	3.293088643
129	3.274172223
130	3.268871701
131	3.265832247
132	3.256860052
133	3.245922447
134	3.236059113
135	3.229645846
136	3.205112841
137	3.196495634
138	3.179214542
139	3.168096362
140	3.158177165
141	3.148071283
142	3.141924055
143	3.132263319
144	3.126726973
145	3.119270553
146	3.112952343
147	3.108892006
148	3.099946935
149	3.087828783
150	3.072063385
151	3.060538591
152	3.056983672
153	3.050252321
154	3.040193983
155	3.031439899
156	3.023104263
157	3.009240874
158	3.006290177
159	3.001332091
160	2.989057818
161	2.98312762
162	2.976061023
163	2.96738312
164	2.961587232
165	2.951747017
166	2.945868069
167	2.941671934
168	2.93660301
169	2.925746215
170	2.920557366
171	2.912176003
172	2.90591233
173	2.891578125
174	2.884165317
175	2.871425011
176	2.860856286
177	2.856175339
178	2.842240375
179	2.837787531
180	2.826097896
181	2.813654006
182	2.808360175
183	2.796031219
184	2.786896917
185	2.781283695
186	2.773226509
187	2.763978869
188	2.756747534
189	2.754835048
190	2.743754946
191	2.742539946
192	2.73133757
193	2.724175654
194	2.72318433
195	2.720014988
196	2.713254512
197	2.706659846
198	2.703430046
199	2.696231572
200	2.690555262
201	2.679221622
202	2.67353069
203	2.667277635
204	2.663805408
205	2.660542185
206	2.658915341
207	2.651518615
208	2.650600348
209	2.644586102
210	2.643573885
211	2.638697515
212	2.631759332
213	2.625789096
214	2.624520196
215	2.616920601
216	2.614046926
217	2.607383494
218	2.600230402
219	2.599147566
220	2.593800389
221	2.58815232
222	2.586884586
223	2.586032446
224	2.585181732
225	2.580157197
226	2.57419156
227	2.573008563
228	2.571989449
229	2.567767171
230	2.563648341
231	2.561612498
232	2.552089006
233	2.543698977
234	2.536756144
235	2.532548416
236	2.531489579
237	2.526592177
238	2.521897352
239	2.516776711
240	2.510678455
241	2.503270509
242	2.498001411
243	2.488627513
244	2.483430938
245	2.482535769
246	2.474561659
247	2.468850268
248	2.464065405
249	2.460211017
250	2.454587242
251	2.452857531
252	2.444493045
253	2.440344108
254	2.435381877
255	2.431173596
256	2.430513387
257	2.429964075
258	2.423049458
259	2.417719757
260	2.412445848
261	2.411462339
262	2.405478443
263	2.401427967
264	2.396746013
265	2.392557426
266	2.38856128
267	2.381678732
268	2.377546652
269	2.376238597
270	2.375636559
271	2.367881697
272	2.363386916
273	2.362685113
274	2.358219902
275	2.35465595
276	2.353991088
277	2.347178714
278	2.340359317
279	2.336012134
280	2.332486538
281	2.32965013
282	2.328481975
283	2.327230703
284	2.320711255
285	2.320299832
286	2.317154304
287	2.311501022
288	2.308292761
289	2.304426596
290	2.296129206
291	2.293139058
292	2.292653659
293	2.288888631
294	2.288045071
295	2.283307444
296	2.279896976
297	2.279158916
298	2.276382858
299	2.273823119
300	2.270831415
301	2.265230768
302	2.261253615
303	2.254786661
304	2.250738063
305	2.245190903
306	2.240977194
307	2.237663848
308	2.236066439
309	2.235315925
310	2.232928229
311	2.229160485
312	2.225461901
313	2.221580292
314	2.217423017
315	2.211472885
316	2.209263043
317	2.202885611
318	2.200517924
319	2.195732752
320	2.195379259
321	2.194711091
322	2.191092228
323	2.186951012
324	2.184000131
325	2.181136275
326	2.17830304
327	2.175166739
328	2.172919469
329	2.169438881
330	2.164201965
331	2.162220703
332	2.158396863
333	2.155435966
334	2.152179944
335	2.148714433
336	2.143778609
337	2.141434009
338	2.138563827
339	2.134495103
340	2.132348623
341	2.129317096
342	2.125576615
343	2.123830629
344	2.122999174
345	2.120153963
346	2.117199233
347	2.115325148
348	2.113135009
349	2.10978215
350	2.104839873
351	2.1008481
352	2.096107531
353	2.094160198
354	2.09122546
355	2.086629355
356	2.08329703
357	2.077857746
358	2.077380812
359	2.072707127
360	2.072566485
361	2.070343486
362	2.068088018
363	2.062887318
364	2.060722702
365	2.059168354
366	2.056444192
367	2.056200683
368	2.053644389
369	2.051958418
370	2.051681595
371	2.049918905
372	2.04694307
373	2.044355749
374	2.041411483
375	2.036751883
376	2.031436173
377	2.027759046
378	2.023445087
379	2.020037436
380	2.016543275
381	2.015069173
382	2.010677702
383	2.006511388
384	2.004085156
385	2.000575961
386	1.997409154
387	1.996539708
388	1.994036446
389	1.992518825
390	1.990033869
391	1.989107196
392	1.986533541
393	1.985110416
394	1.980237542
395	1.97914193
396	1.976709089
397	1.973453828
398	1.971629852
399	1.969297842
400	1.964357554
401	1.960437394
402	1.959436619
403	1.956391867
404	1.953937379
405	1.949429943
406	1.947136238
407	1.94563515
408	1.945527091
409	1.945423498
410	1.944965721
411	1.943324653
412	1.941263004
413	1.938672135
414	1.936428552
415	1.932734142
416	1.931071791
417	1.930909731
418	1.929086282
419	1.92671884
420	1.926557512
421	1.926467459
422	1.924113745
423	1.922617492
424	1.920024537
425	1.917932712
426	1.915361111
427	1.912646492
428	1.910829357
429	1.907932374
430	1.904653255
431	1.900895018
432	1.899340099
433	1.896590455
434	1.892422815
435	1.888829053
436	1.886213771
437	1.883124635
438	1.881312195
439	1.877945983
440	1.874842487
441	1.870728794
442	1.869056669
443	1.866701594
444	1.864817005
445	1.862380918
446	1.859604966
447	1.856914848
448	1.855870134
449	1.853619499
450	1.852665672
451	1.850998202
452	1.84896552
453	1.846914157
454	1.844992314
455	1.842452914
456	1.841481234
457	1.839331587
458	1.837068858
459	1.835430866
460	1.831670163
461	1.829923762
462	1.828497672
463	1.82671541
464	1.823690306
465	1.821324431
466	1.819320219
467	1.816486047
468	1.811947567
469	1.810528123
470	1.809267319
471	1.806895047
472	1.805377678
473	1.80280349
474	1.799846443
475	1.798003719
476	1.794981899
477	1.792349261
478	1.789502627
479	1.787080971
480	1.785639018
481	1.782796541
482	1.780923929
483	1.779025436
484	1.776721077
485	1.774483958
486	1.7717711
487	1.769809129
488	1.767515932
489	1.763569555
490	1.762616616
491	1.759815015
492	1.758153248
493	1.756194727
494	1.75611764
495	1.75424209
496	1.751597013
497	1.749125154
498	1.746319935
499	1.746245626
500	1.745019191
501	1.742976589
502	1.741665136
503	1.739968651
504	1.737889711
505	1.735994158
506	1.733235876
507	1.731339641
508	1.729565009
509	1.726139343
510	1.726073283
511	1.7236945
512	1.722141832
513	1.720077336
