iter	RMSE
0	21.28271718
1	20.29418578
2	19.34984362
3	18.44699842
4	17.58066855
5	16.82666924
6	16.08792395
7	15.39647241
8	14.76304916
9	14.16436557
10	13.59082476
11	13.02349886
12	12.54694264
13	12.0294914
14	11.59671694
15	11.19394753
16	10.81848474
17	10.38197925
18	10.03365197
19	9.726093536
20	9.432669582
21	9.124468005
22	8.850111226
23	8.597804069
24	8.314497737
25	8.064222584
26	7.850077055
27	7.646452823
28	7.458552831
29	7.301392498
30	7.132705806
31	6.998713213
32	6.850776367
33	6.685725282
34	6.542893513
35	6.381946658
36	6.269944827
37	6.123746647
38	5.995453347
39	5.882271922
40	5.752755953
41	5.663810232
42	5.578256792
43	5.493937921
44	5.419188758
45	5.331447968
46	5.251883697
47	5.199363951
48	5.118295526
49	5.05091977
50	4.99511314
51	4.924448552
52	4.86523956
53	4.823780014
54	4.772137936
55	4.731684044
56	4.692203559
57	4.631897536
58	4.592160788
59	4.558604678
60	4.529415605
61	4.493945868
62	4.455671752
63	4.420006814
64	4.393663247
65	4.350342958
66	4.320828921
67	4.282837112
68	4.250347711
69	4.208970116
70	4.181751921
71	4.165137595
72	4.14896441
73	4.124574041
74	4.100136332
75	4.084832763
76	4.056145283
77	4.043121455
78	4.015648407
79	3.99935219
80	3.977723588
81	3.967835259
82	3.940495972
83	3.912068989
84	3.898634507
85	3.884957997
86	3.867195339
87	3.849171624
88	3.836830343
89	3.822856525
90	3.805317518
91	3.783580109
92	3.764194559
93	3.754223646
94	3.742619579
95	3.736135628
96	3.729082197
97	3.719096436
98	3.710471747
99	3.698310471
100	3.688447034
101	3.6747579
102	3.664747562
103	3.653233235
104	3.641236628
105	3.631921242
106	3.618233002
107	3.612981674
108	3.599864947
109	3.577781133
110	3.572554087
111	3.560845769
112	3.548361604
113	3.53169543
114	3.52135936
115	3.509579311
116	3.504190374
117	3.488983759
118	3.481242985
119	3.465811062
120	3.448317596
121	3.442660284
122	3.427975956
123	3.419210286
124	3.413866456
125	3.405391136
126	3.396650083
127	3.384644461
128	3.375182731
129	3.369366108
130	3.361868378
131	3.351803858
132	3.346761494
133	3.337341275
134	3.324433474
135	3.319058413
136	3.313067816
137	3.309176476
138	3.296606467
139	3.280882057
140	3.268429403
141	3.255440345
142	3.2421073
143	3.239538623
144	3.231491511
145	3.225281161
146	3.217259184
147	3.214182608
148	3.210041249
149	3.200960027
150	3.193787809
151	3.182400205
152	3.176512849
153	3.170954302
154	3.158020382
155	3.148776332
156	3.141006534
157	3.136632278
158	3.120153537
159	3.109635226
160	3.102360078
161	3.092827687
162	3.082301428
163	3.077410759
164	3.069803285
165	3.062221003
166	3.056843868
167	3.053471212
168	3.050108242
169	3.044896686
170	3.040346902
171	3.030892365
172	3.021945815
173	3.01329575
174	3.00035444
175	2.991095163
176	2.988542872
177	2.98520244
178	2.970986684
179	2.966271416
180	2.956686857
181	2.948305036
182	2.941357462
183	2.935275039
184	2.932500709
185	2.925569048
186	2.919478134
187	2.914443863
188	2.910614768
189	2.90412931
