iter	RMSE
0	21.21722814
1	20.20446408
2	19.23568747
3	18.36022276
4	17.5309687
5	16.6828256
6	15.95275147
7	15.28954288
8	14.60075447
9	13.98609697
10	13.37892248
11	12.84487436
12	12.33627231
13	11.86515971
14	11.41911322
15	11.05371409
16	10.64663082
17	10.26843264
18	9.950738512
19	9.622083997
20	9.299690723
21	9.007395513
22	8.739128326
23	8.446177359
24	8.198390165
25	7.970210185
26	7.748501729
27	7.547533247
28	7.33066833
29	7.144332942
30	6.946977621
31	6.793656178
32	6.654335733
33	6.49995984
34	6.359348493
35	6.251359451
36	6.132286327
37	6.042825117
38	5.956813954
39	5.858020975
40	5.747822553
41	5.655032902
42	5.588400551
43	5.477571141
44	5.391741047
45	5.321836034
46	5.253916682
47	5.186754279
48	5.110567123
49	5.039348525
50	4.972778617
51	4.917598063
52	4.859568472
53	4.80210495
54	4.765306031
55	4.701157561
56	4.653145336
57	4.610709448
58	4.57879274
59	4.536017918
60	4.500864982
61	4.468170454
62	4.430686258
63	4.387286994
64	4.354599682
65	4.325710686
66	4.297576434
67	4.270171491
68	4.233259966
69	4.209851515
70	4.176180984
71	4.159097458
72	4.139448223
73	4.121074124
74	4.100968908
75	4.082892604
76	4.063744456
77	4.04679294
78	4.031964032
79	4.010561578
80	3.985097163
81	3.972713238
82	3.940798725
83	3.927165624
84	3.90116927
85	3.87156859
86	3.847297025
87	3.822609072
88	3.811949895
89	3.797170839
90	3.784214515
91	3.758357222
92	3.745877035
93	3.722914861
94	3.710706568
95	3.700316384
96	3.688389944
97	3.672804095
98	3.666157075
99	3.651180734
100	3.635070238
101	3.62872287
102	3.619024746
103	3.611898602
104	3.60195809
105	3.58902504
106	3.571718664
107	3.562005677
108	3.548971986
109	3.523433362
110	3.513139025
111	3.505016126
112	3.490819824
113	3.483845704
114	3.478043212
115	3.46686913
116	3.46287416
117	3.452173238
118	3.437966761
119	3.42834897
120	3.418313976
121	3.409846841
122	3.402847395
123	3.393215269
124	3.38473011
125	3.37969319
126	3.374744704
127	3.368900441
128	3.363014575
129	3.345643916
130	3.337974952
131	3.329230846
132	3.3220864
133	3.311506636
134	3.301323544
135	3.295538921
136	3.284319337
137	3.277548282
138	3.273612541
139	3.263916287
140	3.245897179
141	3.22663732
142	3.215827389
143	3.207065282
144	3.193395002
145	3.181122488
146	3.178314123
147	3.17028661
148	3.163758525
149	3.156408486
150	3.151930616
151	3.144982098
152	3.13949783
153	3.131503487
154	3.125260442
155	3.116530635
156	3.107064638
157	3.098287642
158	3.094044612
159	3.078433308
160	3.065310087
161	3.058338417
162	3.051551299
163	3.044605596
164	3.037881673
165	3.032461502
166	3.018796495
167	3.013193654
168	3.009118621
169	3.00268759
170	2.993389958
171	2.987724161
172	2.981855452
173	2.979212328
174	2.968491227
175	2.954124824
176	2.94047401
177	2.935649246
178	2.924264509
179	2.911572708
180	2.905019856
181	2.900770617
182	2.893784993
183	2.887410407
184	2.885014472
185	2.877952954
186	2.87306632
187	2.866401002
188	2.858675328
189	2.853682924
190	2.847610269
191	2.83428786
192	2.828421976
193	2.82083367
194	2.816690134
195	2.807459209
196	2.797904345
197	2.795459774
198	2.789236719
199	2.779975851
200	2.774222375
201	2.763294759
202	2.757161885
203	2.754723287
204	2.751087496
205	2.745122895
206	2.734661089
207	2.73327895
208	2.723668529
209	2.721657485
210	2.717043323
211	2.715787556
212	2.707778193
213	2.703913697
214	2.701916624
215	2.695914328
216	2.687011388
217	2.682366339
218	2.678320399
219	2.673634715
220	2.669455093
221	2.661866294
222	2.660738659
223	2.653661105
224	2.651720883
225	2.644158906
226	2.639112623
227	2.631273634
228	2.623862069
229	2.616807729
230	2.608004411
231	2.599956918
232	2.595429337
233	2.594350362
234	2.593188534
235	2.583983317
236	2.577176285
237	2.572012925
238	2.57106781
239	2.566683947
240	2.561116819
241	2.556572447
242	2.551659215
243	2.546765493
244	2.542632895
245	2.535855474
246	2.53508223
247	2.5343812
248	2.527807844
249	2.523504885
250	2.518695224
251	2.515103069
252	2.508792313
253	2.504201977
254	2.498432211
255	2.493819599
256	2.490381214
257	2.484476953
