iter	RMSE
0	21.37415621
1	20.37003537
2	19.42691892
3	18.53597824
4	17.69821195
5	16.98244935
6	16.28020171
7	15.57960067
8	14.94865804
9	14.3549987
10	13.75489089
11	13.20666505
12	12.70306984
13	12.19619467
14	11.74654219
15	11.298345
16	10.91789674
17	10.51540799
18	10.18341076
19	9.881663957
20	9.567651077
21	9.288580203
22	8.99072603
23	8.721155733
24	8.490516815
25	8.243729173
26	8.012516447
27	7.801067256
28	7.602099527
29	7.390116208
30	7.193762706
31	7.006431911
32	6.864076139
33	6.69631192
34	6.544381377
35	6.417989993
36	6.290169043
37	6.175125562
38	6.074550514
39	5.962224425
40	5.851810598
41	5.736239998
42	5.648460602
43	5.581486425
44	5.488356705
45	5.413600677
46	5.318082638
47	5.246831076
48	5.175817605
49	5.115087879
50	5.065661988
51	5.007403814
52	4.957097594
53	4.911381515
54	4.84614572
55	4.790221698
56	4.71594092
57	4.666108467
58	4.63646573
59	4.600229454
60	4.553211609
61	4.495551972
62	4.446746676
63	4.413453854
64	4.382926287
65	4.355338135
66	4.330844685
67	4.312050293
68	4.285957608
69	4.254882972
70	4.224833116
71	4.190873366
72	4.16857479
73	4.125700793
74	4.107180868
75	4.087271022
76	4.069469776
77	4.051117124
78	4.036945067
79	4.001979231
80	3.977513679
81	3.959184065
82	3.945068752
83	3.932235829
84	3.925518299
85	3.897125161
86	3.879271676
87	3.871150931
88	3.857365309
89	3.842479366
90	3.829402172
91	3.811196982
92	3.794088026
93	3.782943194
94	3.773616584
95	3.76470385
96	3.754474118
97	3.729954303
98	3.718833125
99	3.707556228
100	3.69157346
101	3.681087014
102	3.671335618
103	3.658528939
104	3.651138585
105	3.636950989
106	3.622208968
107	3.599435913
108	3.586319329
109	3.576307855
110	3.554037961
111	3.548897191
112	3.529056725
113	3.526792712
114	3.519704086
115	3.509046636
116	3.497192638
117	3.485068537
118	3.475756709
119	3.466575058
120	3.448369742
121	3.437461199
122	3.427312754
123	3.420090083
124	3.411960873
125	3.401870308
126	3.389620055
127	3.383977832
128	3.378083459
129	3.37053053
130	3.36501918
131	3.353203773
132	3.338578149
133	3.332304972
134	3.3250961
135	3.309239337
136	3.297634841
137	3.2853508
138	3.271873633
139	3.267421356
140	3.254734105
141	3.242533186
142	3.227569337
143	3.214486094
144	3.206414244
145	3.197222036
146	3.192555326
147	3.185094973
148	3.180792205
149	3.175514036
150	3.166520516
151	3.160705054
152	3.152173071
153	3.144840915
154	3.138499673
155	3.123676646
156	3.116489682
157	3.109800236
158	3.105401414
159	3.101430772
160	3.090632211
161	3.084353697
162	3.075938518
163	3.072022018
164	3.060294431
165	3.052994983
166	3.046165377
167	3.041459246
168	3.035227725
169	3.029699491
170	3.024483936
171	3.016313694
172	3.011620995
173	3.008544921
174	3.001892854
175	2.999211564
176	2.991019912
177	2.984471854
178	2.977251636
179	2.972202955
180	2.963164134
181	2.955016891
182	2.950642816
183	2.944540949
184	2.931209424
185	2.919803215
186	2.914912526
187	2.905802847
188	2.903594875
189	2.89300048
190	2.883564889
191	2.874677651
192	2.86690321
193	2.858770295
194	2.854245339
195	2.847543869
196	2.843164847
197	2.83614497
198	2.833139128
199	2.830776244
200	2.825382374
201	2.823185834
202	2.8137013
203	2.808214872
204	2.804830923
205	2.792060731
206	2.786408854
207	2.779409155
208	2.778428639
209	2.769388074
210	2.763261103
211	2.76088948
212	2.759826971
213	2.758787988
214	2.748808658
215	2.741079901
216	2.73402491
217	2.731278134
218	2.730114455
219	2.72913594
220	2.724498715
221	2.720424916
222	2.716287189
223	2.712693407
224	2.704893683
225	2.695831907
226	2.689621108
227	2.688892604
228	2.687928619
229	2.685052908
230	2.675413265
231	2.665454184
232	2.661276985
233	2.656230902
234	2.655396988
235	2.651224851
236	2.645781852
237	2.63925822
238	2.634915973
239	2.631064381
240	2.623334316
241	2.617243742
242	2.615511805
243	2.611635105
244	2.606318618
245	2.601778829
246	2.59603119
247	2.593780124
248	2.589163733
249	2.585213675
250	2.582084329
251	2.578169123
252	2.572689949
253	2.566863371
254	2.560312288
255	2.552880846
256	2.551917662
257	2.547644
258	2.546231868
259	2.543544694
260	2.541019062
261	2.540160248
262	2.536401473
263	2.532105861
264	2.526147682
265	2.519753754
266	2.509045786
267	2.503353734
268	2.49916048
269	2.496125148
270	2.492680085
271	2.488933915
272	2.482197962
273	2.478677634
274	2.472647555
275	2.46915488
276	2.464180193
277	2.460438315
278	2.457152494
279	2.45321695
280	2.44906282
281	2.444995517
282	2.439227219
283	2.435420096
284	2.432661178
285	2.424145199
286	2.42106037
287	2.414037786
288	2.410981932
289	2.406159507
290	2.403857049
291	2.397256591
292	2.395651519
293	2.387759078
294	2.384865893
295	2.384385079
296	2.379671535
297	2.376394216
298	2.370775017
299	2.368087108
300	2.363869944
301	2.359246825
302	2.354718562
303	2.35101972
304	2.348621436
305	2.346607811
306	2.340800001
307	2.335080249
308	2.330222171
309	2.325143303
310	2.32229719
311	2.318036303
312	2.315082908
313	2.308585733
314	2.305080592
315	2.301663271
316	2.297838748
317	2.293568433
318	2.288394414
319	2.283646801
320	2.279699264
321	2.27863007
322	2.274837439
323	2.272750104
324	2.268574019
325	2.2638065
326	2.2591519
327	2.255765465
328	2.252660927
329	2.249013144
330	2.24390859
331	2.240835838
332	2.237729279
333	2.236311912
334	2.231796998
335	2.22847663
336	2.226410725
337	2.223788905
338	2.223536515
339	2.219237825
340	2.214607382
341	2.212334618
342	2.206526223
343	2.20366773
344	2.200566187
345	2.198081717
346	2.195984248
347	2.191629335
348	2.189297282
349	2.187827557
350	2.184720552
351	2.182251519
352	2.178355546
353	2.175854192
354	2.173309222
355	2.170351431
356	2.167647148
357	2.164720601
358	2.161959145
359	2.159008615
360	2.156471842
361	2.151618841
362	2.148922665
363	2.147169979
364	2.144779388
365	2.14272681
366	2.142388679
367	2.142151252
